accuracy,dataset,detector_triggered,ece,homophily,intensity,method,nll,seed,shift
0.4148148148148148,texas,,0.14988769562542056,0.06093189964157706,0.0,source_only,1.2929393604740094,0,clean
0.4222222222222222,texas,,0.15544283902689113,0.06093189964157706,0.0,entropy_all_nodes,1.2945639900266837,0,clean
0.4148148148148148,texas,False,0.16627720432444068,0.06093189964157706,0.0,full_method,1.2979447820166983,0,clean
0.35555555555555557,texas,,0.34065393467997995,0.06093189964157706,0.1,source_only,2.220361251666964,0,feature_noise
0.35555555555555557,texas,,0.323995554733175,0.06093189964157706,0.1,entropy_all_nodes,2.2128146928202574,0,feature_noise
0.35555555555555557,texas,False,0.3246571560220117,0.06093189964157706,0.1,full_method,2.217062730108964,0,feature_noise
0.4222222222222222,texas,,0.1512407155422214,0.06093189964157706,0.1,source_only,1.293469216184811,0,edge_drop
0.4222222222222222,texas,,0.15470013801181282,0.06093189964157706,0.1,entropy_all_nodes,1.2956373777434356,0,edge_drop
0.4074074074074074,texas,False,0.1495424697284027,0.06093189964157706,0.1,full_method,1.3003581429350524,0,edge_drop
0.4222222222222222,texas,,0.14812828805205838,0.06093189964157706,0.05,source_only,1.281013102463959,0,edge_add
0.4148148148148148,texas,,0.13257664325391394,0.06093189964157706,0.05,entropy_all_nodes,1.2820703356751673,0,edge_add
0.4074074074074074,texas,False,0.13122792206914377,0.06093189964157706,0.05,full_method,1.2850230442432833,0,edge_add
0.45925925925925926,texas,,0.17852101167741397,0.06093189964157706,0.0,source_only,1.381332136135451,1,clean
0.45925925925925926,texas,,0.17670426923639357,0.06093189964157706,0.0,entropy_all_nodes,1.379903941995284,1,clean
0.45925925925925926,texas,False,0.18243160389125374,0.06093189964157706,0.0,full_method,1.3765723677273485,1,clean
0.2740740740740741,texas,,0.4682299402536404,0.06093189964157706,0.1,source_only,2.9291666919064405,1,feature_noise
0.2740740740740741,texas,,0.468919272994038,0.06093189964157706,0.1,entropy_all_nodes,2.9381290143144043,1,feature_noise
0.2740740740740741,texas,False,0.46897164907158784,0.06093189964157706,0.1,full_method,2.9422045517244073,1,feature_noise
0.4666666666666667,texas,,0.19821828500856234,0.06093189964157706,0.1,source_only,1.4160924314637953,1,edge_drop
0.4740740740740741,texas,,0.19728683660574248,0.06093189964157706,0.1,entropy_all_nodes,1.4141908090824784,1,edge_drop
0.4740740740740741,texas,False,0.18969692704090582,0.06093189964157706,0.1,full_method,1.4088669701517595,1,edge_drop
0.43703703703703706,texas,,0.1500701229748761,0.06093189964157706,0.05,source_only,1.367017088986328,1,edge_add
0.43703703703703706,texas,,0.1634125613197078,0.06093189964157706,0.05,entropy_all_nodes,1.3649155684978167,1,edge_add
0.43703703703703706,texas,False,0.17064394596413077,0.06093189964157706,0.05,full_method,1.3605111674879191,1,edge_add
0.24444444444444444,texas,,0.13754934136195698,0.06093189964157706,0.0,source_only,1.4823587565063892,2,clean
0.24444444444444444,texas,,0.14744299056416482,0.06093189964157706,0.0,entropy_all_nodes,1.48996632166066,2,clean
0.23703703703703705,texas,False,0.14248075579591096,0.06093189964157706,0.0,full_method,1.4926030951699765,2,clean
0.2518518518518518,texas,,0.37948478719211176,0.06093189964157706,0.1,source_only,2.4872977178279254,2,feature_noise
0.24444444444444444,texas,,0.3870626659183212,0.06093189964157706,0.1,entropy_all_nodes,2.5165762195191643,2,feature_noise
0.24444444444444444,texas,False,0.3908432404640503,0.06093189964157706,0.1,full_method,2.533706030663851,2,feature_noise
0.2740740740740741,texas,,0.12083280057163014,0.06093189964157706,0.1,source_only,1.4920875711511659,2,edge_drop
0.2814814814814815,texas,,0.11644503951184637,0.06093189964157706,0.1,entropy_all_nodes,1.5000567762740202,2,edge_drop
0.2740740740740741,texas,False,0.13121883668397286,0.06093189964157706,0.1,full_method,1.5028095947418367,2,edge_drop
0.22962962962962963,texas,,0.1435285459993197,0.06093189964157706,0.05,source_only,1.4896660716506016,2,edge_add
