accuracy,brier,dataset,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
0.8303030303030303,0.23806933560199808,synthetic,,0.0809596278185696,0.25,0.830237910971856,source_only,0.4282669353431344,0.0,0,homophily_shift
0.8303030303030303,0.23379147231494607,synthetic,,0.05157199244410488,0.25,0.8318857538525268,tent_full,0.4159996620843019,0.05671310005709529,0,homophily_shift
0.8363636363636363,0.23222809333441466,synthetic,,0.05089273980348871,0.25,0.8378921908333673,eata_full,0.41157748171500214,0.08364470000378788,0,homophily_shift
0.8181818181818182,0.23595200278610387,synthetic,,0.07646400509015862,0.25,0.8179882044560944,matcha_full,0.41775867528804217,0.10285160003695637,0,homophily_shift
0.8242424242424242,0.231534467605817,synthetic,,0.07976169399062548,0.25,0.8256582374229433,gtrans_full,0.41079162788790125,0.05819330003578216,0,homophily_shift
0.8242424242424242,0.2352159184140533,synthetic,False,0.07343618473441436,0.25,0.8239906573239907,full_method,0.4192268088273954,0.28717230004258454,0,homophily_shift
0.6242424242424243,0.5103655560114115,synthetic,,0.10931120108235756,0.5,0.6235111937130107,source_only,0.8622404593556581,0.0,0,homophily_shift
0.6303030303030303,0.5313372064785152,synthetic,,0.15839076306712122,0.5,0.6304790498965256,tent_full,0.9190260157554517,0.03842050000093877,0,homophily_shift
0.6303030303030303,0.531545880542875,synthetic,,0.1648465392928985,0.5,0.6304790498965256,eata_full,0.9209626772927898,0.055824900045990944,0,homophily_shift
0.5696969696969697,0.5530178980951937,synthetic,,0.13381391899890724,0.5,0.5588903864873828,matcha_full,0.9380868907540193,0.10700269998051226,0,homophily_shift
0.6424242424242425,0.5347027973197126,synthetic,,0.1772036742914953,0.5,0.6425502202169943,gtrans_full,0.9225027023063435,0.03211040003225207,0,homophily_shift
0.6181818181818182,0.5362135049270575,synthetic,False,0.10345803077571998,0.5,0.6113442113442114,full_method,0.9077087492249082,0.25694220000877976,0,homophily_shift
0.8181818181818182,0.26041846944200897,synthetic,,0.06602937695302186,0.25,0.8185891391336936,source_only,0.44855151680155453,0.0,1,homophily_shift
0.8121212121212121,0.26681101893137976,synthetic,,0.059768715710178014,0.25,0.8117272161389808,tent_full,0.4499296452189614,0.038072200026363134,1,homophily_shift
0.8181818181818182,0.2648933682798752,synthetic,,0.056968499466733664,0.25,0.8181134075251723,eata_full,0.4465003156431351,0.06124079995788634,1,homophily_shift
0.8181818181818182,0.2590535954703724,synthetic,,0.09371697225145502,0.25,0.8185891391336936,matcha_full,0.4411631523780517,0.10320569993928075,1,homophily_shift
0.8121212121212121,0.26515879051983776,synthetic,,0.06313379146806346,0.25,0.8117272161389808,gtrans_full,0.44680797123747207,0.031875799992121756,1,homophily_shift
0.8303030303030303,0.25873756266173403,synthetic,False,0.10364965647664973,0.25,0.8310211902444912,full_method,0.44165021807433447,0.2960486999945715,1,homophily_shift
