dataset,shift,intensity,method_a,method_b,n,accuracy_diff,accuracy_p,accuracy_significant,macro_f1_diff,macro_f1_p,macro_f1_significant,nll_diff,nll_p,nll_significant,ece_diff,ece_p,ece_significant,brier_diff,brier_p,brier_significant
cornell,clean,0,full_method,source_only,2,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00000045,0.16306415,0,0.00000681,0.64357146,0,-0.00000019,0.07104333,0
cornell,clean,0,full_method,entropy_all_nodes,2,0.00000000,1.00000000,0,0.00000000,1.00000000,0,0.00000001,0.00000000,1,0.00000044,0.50464445,0,0.00000001,0.00000000,1
cornell,clean,0,full_method,tent_entropy,2,0.00000000,1.00000000,0,0.00000000,1.00000000,0,0.00000001,0.00000000,1,0.00000043,0.50165065,0,0.00000001,0.00000000,1
cornell,clean,0,full_method,eata_filter,2,0.00000000,1.00000000,0,0.00000000,1.00000000,0,0.00000018,0.02626886,1,-0.00000018,0.45935445,0,0.00000007,0.03260373,1
cornell,clean,0,full_method,graph_tta_consistency,2,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00000024,0.00010200,1,0.00000004,0.97870627,0,-0.00000010,0.00000391,1
cornell,clean,0,full_method,matcha_reliable,2,0.00000000,1.00000000,0,-0.00022659,0.31731051,0,0.00000002,0.47828987,0,-0.00000061,0.35765292,0,0.00000001,0.46226629,0
cornell,edge_add,0.1,full_method,source_only,2,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00000003,0.96489379,0,-0.00001367,0.02647442,1,-0.00000002,0.91245632,0
cornell,edge_add,0.1,full_method,entropy_all_nodes,2,0.00000000,1.00000000,0,0.00000000,1.00000000,0,0.00000004,0.00053370,1,-0.00000042,0.08737737,0,0.00000002,0.00045182,1
cornell,edge_add,0.1,full_method,tent_entropy,2,0.00000000,1.00000000,0,0.00000000,1.00000000,0,0.00000004,0.00027297,1,-0.00000041,0.08980244,0,0.00000002,0.00024300,1
cornell,edge_add,0.1,full_method,eata_filter,2,0.00000000,1.00000000,0,0.00000000,1.00000000,0,0.00000016,0.00000478,1,0.00000029,0.12306220,0,0.00000006,0.00001219,1
