dataset,shift,intensity,method,count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,ece_mean,ece_std,brier_mean,brier_std,runtime_seconds_mean,runtime_seconds_std,adapted_steps_mean,adapted_steps_std,mean_reliability_mean,mean_reliability_std,selected_fraction_mean,selected_fraction_std,num_nodes_mean,num_nodes_std,num_edges_mean,num_edges_std
texas,clean,0.0,source_only,2,0.22580645161290325,0.021505376344086016,0.1221795793832407,0.02541767462133595,1.6084141056301473,8.378666058495021e-05,0.02242092564628828,0.020588860094843286,0.7995860850059257,3.931658618350209e-05,1.5499826986342669e-06,5.00003807246685e-08,0.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1511.5,42.5
texas,clean,0.0,entropy_all_nodes,2,0.22043010752688175,0.016129032258064516,0.11708802957699393,0.02032612481508917,1.6084138036634572,8.340215187385702e-05,0.01705098505987053,0.015198304565253992,0.7995859525041321,3.918142672210134e-05,0.002286549992277287,0.0002850500022759661,5.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1511.5,42.5
texas,clean,0.0,tent_entropy,2,0.22043010752688175,0.016129032258064516,0.11708802957699393,0.02032612481508917,1.6084138033634732,8.34017657016517e-05,0.01705099144633862,0.015198290325908442,0.7995859523724134,3.918129091634581e-05,0.0015912000089883804,0.00031380000291392207,5.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1511.5,42.5
texas,clean,0.0,eata_filter,2,0.22580645161290325,0.021505376344086016,0.1221795793832407,0.02541767462133595,1.6084136507995637,8.346587776719705e-05,0.02242818392133604,0.020573581528270865,0.7995858898758043,3.920900442511144e-05,0.013817899991408922,0.0006453000096371397,5.0,0.0,0.31092896174863394,0.007103825136612035,0.31092896174863394,0.007103825136612035,183.0,0.0,1511.5,42.5
texas,clean,0.0,graph_tta_consistency,2,0.22043010752688175,0.016129032258064516,0.11708802957699393,0.02032612481508917,1.6084141007768114,8.344340841315301e-05,0.017051413171014926,0.015199446632162147,0.7995860736185119,3.919507700334002e-05,0.022366799996234477,0.0020939999958500266,5.0,0.0,0.42845897292164925,0.004964997123270448,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
texas,clean,0.0,matcha_reliable,2,0.22043010752688175,0.016129032258064516,0.11708802957699393,0.02032612481508917,1.608413839286369,8.342135879513268e-05,0.017051914840065477,0.015197287488292147,0.799585966296464,3.9190028422730894e-05,0.014666900009615347,0.0003890999942086637,5.0,0.0,0.5027322404371585,0.0,0.5027322404371585,0.0,183.0,0.0,1511.5,42.5
texas,clean,0.0,reliable_entropy,2,0.22043010752688175,0.016129032258064516,0.11708802957699393,0.02032612481508917,1.608413840678478,8.33965669962966e-05,0.017051401827296336,0.015197737712105364,0.7995859671491528,3.917971052264102e-05,0.014328149991342798,0.0003177500038873404,5.0,0.0,0.4284588641943336,0.0049648416865542555,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
texas,clean,0.0,no_neighborhood_agreement,2,0.22043010752688175,0.016129032258064516,0.11708802957699393,0.02032612481508917,1.6084137606514841,8.335959846184071e-05,0.017051655242785443,0.01519666314499342,0.7995859341474532,3.916639002171651e-05,0.008480899996357039,1.1299998732283711e-05,5.0,0.0,0.4372765693269627,0.0031212032119782296,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
texas,clean,0.0,no_structural_stability,2,0.22043010752688175,0.016129032258064516,0.11708802957699393,0.02032612481508917,1.6084138406785131,8.339656694988928e-05,0.017051401827792106,0.015197737711524606,0.7995859671491665,3.9179710504488874e-05,0.009238899991032667,0.00018829999316949397,5.0,0.0,0.4284589778244049,0.004964807292048068,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
texas,clean,0.0,no_calibration_loss,2,0.22043010752688175,0.016129032258064516,0.11708802957699393,0.02032612481508917,1.6084138406784592,8.339656701106257e-05,0.017051401827417628,0.015197737711957177,0.7995859671491446,3.917971052891378e-05,0.015817949999473058,0.00035365000076126307,5.0,0.0,0.4284588641943268,0.004964841686547095,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
texas,clean,0.0,no_anti_forgetting,2,0.22043010752688175,0.016129032258064516,0.11708802957699393,0.02032612481508917,1.6084138404156565,8.339617516184283e-05,0.017051408630232565,0.015197722905290242,0.7995859670321415,3.917957296889485e-05,0.014586799996322952,0.0006490000087069348,5.0,0.0,0.4284588643119464,0.00496484177297235,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
texas,clean,0.0,full_method,2,0.22043010752688175,0.016129032258064516,0.11708802957699393,0.02032612481508917,1.608413840678478,8.33965669962966e-05,0.017051401827296336,0.015197737712105364,0.7995859671491528,3.917971052264102e-05,0.014682099994388409,0.00011949999316129833,5.0,0.0,0.4284588641943336,0.0049648416865542555,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
texas,feature_noise,0.1,source_only,2,0.20967741935483872,0.005376344086021501,0.11389087656529517,0.017737030411449008,1.608360059783072,0.00013476235367548828,0.006326074577247279,0.004532966775325234,0.799563567257057,6.0961590246821906e-05,1.400010660290718e-06,0.0,0.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1511.5,42.5
texas,feature_noise,0.1,entropy_all_nodes,2,0.20967741935483872,0.005376344086021501,0.11389087656529517,0.017737030411449008,1.6083596600436882,0.0001344538245107163,0.006332676086095987,0.0045191000530543785,0.7995633912868763,6.0861913002863144e-05,0.002112500005750917,0.0001542999962111935,5.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1511.5,42.5
texas,feature_noise,0.1,tent_entropy,2,0.20967741935483872,0.005376344086021501,0.11389087656529517,0.017737030411449008,1.6083596596458507,0.00013445351440455333,0.006332682691175109,0.004519086179105694,0.7995633911116522,6.086181271891533e-05,0.0016935499879764393,0.0002220499882241711,5.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1511.5,42.5
texas,feature_noise,0.1,eata_filter,2,0.20967741935483872,0.005376344086021501,0.11389087656529517,0.017737030411449008,1.6083594778530101,0.00013449573547241744,0.006333232556600954,0.004518195231264344,0.7995633169100205,6.0880846058375404e-05,0.013104550002026372,0.00020255001436453313,5.0,0.0,0.3147540983606558,0.015300546448087454,0.3147540983606558,0.015300546448087454,183.0,0.0,1511.5,42.5
texas,feature_noise,0.1,graph_tta_consistency,2,0.20967741935483872,0.005376344086021501,0.11389087656529517,0.017737030411449008,1.6083599814011844,0.0001345019365336375,0.006333210934825431,0.004520323892192937,0.7995635225052338,6.08776398941524e-05,0.019727599996258505,0.0005636999994749203,5.0,0.0,0.4287637999044992,0.009411163454714405,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
texas,feature_noise,0.1,matcha_reliable,2,0.20967741935483872,0.005376344086021501,0.11389087656529517,0.017737030411449008,1.608359680671799,0.0001344617168300699,0.006333712704939848,0.0045178629493107525,0.7995633989391744,6.086666060139967e-05,0.015132549990084954,0.0005686500080628321,5.0,0.0,0.5027322404371585,0.0,0.5027322404371585,0.0,183.0,0.0,1511.5,42.5
texas,feature_noise,0.1,reliable_entropy,2,0.20967741935483872,0.005376344086021501,0.11389087656529517,0.017737030411449008,1.6083596753343974,0.00013444766289938404,0.006333098993322114,0.004518470678096645,0.7995633971837477,6.08602221544019e-05,0.014452549992711283,6.674999895039946e-05,5.0,0.0,0.4287637821377664,0.009411087229806103,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
