key,entry_type,title,year,venue_field,venue_value,doi,has_title,has_author,has_year,has_venue,has_doi,is_preprint,no_doi_expected,status
kipf2017semisupervised,inproceedings,Semi-Supervised Classification with Graph Convolutional Networks,2017,booktitle,International Conference on Learning Representations,,True,True,True,True,False,False,True,verified
hamilton2017inductive,inproceedings,Inductive Representation Learning on Large Graphs,2017,booktitle,Advances in Neural Information Processing Systems,,True,True,True,True,False,False,True,verified
velickovic2018graph,inproceedings,Graph Attention Networks,2018,booktitle,International Conference on Learning Representations,,True,True,True,True,False,False,True,verified
klicpera2019predict,inproceedings,Predict then Propagate: Graph Neural Networks Meet Personalized PageRank,2019,booktitle,International Conference on Learning Representations,,True,True,True,True,False,False,True,verified
chen2020simple,inproceedings,Simple and Deep Graph Convolutional Networks,2020,booktitle,International Conference on Machine Learning,,True,True,True,True,False,False,True,verified
xu2019powerful,inproceedings,How Powerful are Graph Neural Networks?,2019,booktitle,International Conference on Learning Representations,,True,True,True,True,False,False,True,verified
wu2019simplifying,inproceedings,Simplifying Graph Convolutional Networks,2019,booktitle,International Conference on Machine Learning,,True,True,True,True,False,False,True,verified
rong2020dropedge,inproceedings,DropEdge: Towards Deep Graph Convolutional Networks on Node Classification,2020,booktitle,International Conference on Learning Representations,,True,True,True,True,False,False,True,verified
zhu2020beyond,inproceedings,Beyond Homophily in Graph Neural Networks: Current Limitations and Effective Designs,2020,booktitle,Advances in Neural Information Processing Systems,,True,True,True,True,False,False,True,verified
wu2021survey,article,A Comprehensive Survey on Graph Neural Networks,2021,journal,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2020.2978386,True,True,True,True,True,False,False,verified
zhou2020graph,article,Graph Neural Networks: A Review of Methods and Applications,2020,journal,AI Open,10.1016/j.aiopen.2021.01.001,True,True,True,True,True,False,False,verified
jiang2022graph,article,Graph Neural Network for Traffic Forecasting: A Survey,2022,journal,Expert Systems with Applications,10.1016/j.eswa.2022.117921,True,True,True,True,True,False,False,verified
