dataset,shift,intensity,method_a,method_b,n,accuracy_diff,accuracy_p,accuracy_significant,macro_f1_diff,macro_f1_p,macro_f1_significant,nll_diff,nll_p,nll_significant,ece_diff,ece_p,ece_significant,brier_diff,brier_p,brier_significant
synthetic,clean,0,full_method,source_only,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.01645422,0.00000000,1,-0.01550412,0.00000000,1,-0.00492147,0.00000000,1
synthetic,clean,0,full_method,entropy_all_nodes,5,-0.00095238,0.31731051,0,-0.00093982,0.31731051,0,0.00307501,0.00000000,1,0.00081433,0.61930876,0,0.00122163,0.00001169,1
synthetic,degree_shift,0.35,full_method,source_only,5,0.00285714,0.01430588,1,0.00284540,0.01430701,1,-0.01461519,0.00000000,1,-0.01075377,0.00000001,1,-0.00456059,0.00000000,1
synthetic,degree_shift,0.35,full_method,entropy_all_nodes,5,-0.00095238,0.31731051,0,-0.00095233,0.31731051,0,0.00244163,0.00000000,1,0.00126022,0.09934764,0,0.00094133,0.00000073,1
synthetic,edge_add,0.15,full_method,source_only,5,0.00000000,1.00000000,0,-0.00000666,0.99646041,0,-0.02758306,0.00000000,1,-0.02290591,0.00000000,1,-0.00997557,0.00000000,1
synthetic,edge_add,0.15,full_method,entropy_all_nodes,5,0.00095238,0.31731051,0,0.00094606,0.31731051,0,0.00245335,0.01083093,1,0.00250295,0.13424642,0,0.00147412,0.03973722,1
synthetic,edge_add,0.35,full_method,source_only,5,-0.00285714,0.23931654,0,-0.00283056,0.24202249,0,-0.03347108,0.00000000,1,-0.03680323,0.00000000,1,-0.01260491,0.00003692,1
synthetic,edge_add,0.35,full_method,entropy_all_nodes,5,-0.00285714,0.49129712,0,-0.00282065,0.49517925,0,0.00456586,0.13793328,0,-0.00411681,0.17316646,0,0.00482243,0.05585815,0
synthetic,edge_drop,0.15,full_method,source_only,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.01503209,0.00000000,1,-0.01521541,0.00000000,1,-0.00450580,0.00000000,1
synthetic,edge_drop,0.15,full_method,entropy_all_nodes,5,-0.00190476,0.10247043,0,-0.00188568,0.10249946,0,0.00275741,0.00000000,1,0.00477828,0.07215106,0,0.00104344,0.00001795,1
synthetic,edge_drop,0.35,full_method,source_only,5,-0.00190476,0.10247043,0,-0.00190421,0.10248237,0,-0.01281099,0.00000000,1,-0.01128920,0.00001662,1,-0.00396376,0.00000000,1
synthetic,edge_drop,0.35,full_method,entropy_all_nodes,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,0.00250243,0.00000000,1,0.00308935,0.00022403,1,0.00100423,0.00000100,1
synthetic,feature_noise,0.2,full_method,source_only,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.01694668,0.00000000,1,-0.01414227,0.00000000,1,-0.00526104,0.00000000,1
synthetic,feature_noise,0.2,full_method,entropy_all_nodes,5,-0.00095238,0.31731051,0,-0.00095243,0.31731051,0,0.00314402,0.00000000,1,0.00041974,0.76485682,0,0.00126525,0.00000000,1
synthetic,feature_noise,0.45,full_method,source_only,5,-0.00095238,0.31731051,0,-0.00094553,0.31731051,0,-0.01789378,0.00000000,1,-0.01365722,0.00000808,1,-0.00592890,0.00000000,1
synthetic,feature_noise,0.45,full_method,entropy_all_nodes,5,-0.00285714,0.13361440,0,-0.00285073,0.13333564,0,0.00397505,0.00000515,1,0.00070982,0.65612459,0,0.00190321,0.00172794,1
synthetic,homophily_shift,0.25,full_method,source_only,5,-0.02285714,0.15222398,0,-0.02498186,0.16122034,0,-0.00928352,0.55942402,0,-0.04584002,0.00002256,1,0.00190134,0.87055395,0
synthetic,homophily_shift,0.25,full_method,entropy_all_nodes,5,-0.01619048,0.15658041,0,-0.01797259,0.16159867,0,0.01227685,0.25342511,0,-0.01270815,0.11274857,0,0.01067392,0.18260547,0
synthetic,homophily_shift,0.5,full_method,source_only,5,-0.13142857,0.00145466,1,-0.17818412,0.00546121,1,0.18527913,0.10281011,0,0.05987490,0.45355683,0,0.12943794,0.07077506,0
synthetic,homophily_shift,0.5,full_method,entropy_all_nodes,5,-0.05333333,0.01128643,1,-0.07337886,0.00349338,1,0.09925229,0.04102140,1,0.02048697,0.50231438,0,0.06621958,0.01112116,1
