assumption_holds,corr_r_e,cov_r_e,error_rate_bottom50_reliability,error_rate_top50_reliability,estimated_homophily,intensity,mean_reliability,seed,shift,spearman_r_e
True,-0.17738844681741975,-0.0036171735807555942,0.02,0.0,0.7673167451244116,0.0,0.4207260060022742,0,clean,-0.06974210824564717
True,-0.17262066546495128,-0.00355038098383173,0.02,0.0,0.7646267652992602,0.2,0.4281966673723944,0,feature_noise,-0.08603962266247403
True,-0.3031408281409615,-0.010672263450010036,0.06,0.0,0.7558843308675185,0.45,0.42886667913210613,0,feature_noise,-0.13124412493472148
True,-0.29282765154041074,-0.010810476487871873,0.06666666666666667,0.0,0.7515822784810127,0.15,0.4245615443961812,0,edge_drop,-0.12161024011377904
True,-0.3526672521146726,-0.015777298636829973,0.1,0.0,0.7693898655635988,0.35,0.4257636019917596,0,edge_drop,-0.1543648262758475
True,-0.22310330845412363,-0.006566663637614294,0.04,0.0,0.7064327485380117,0.15,0.43084233936147476,0,edge_add,-0.10581762019577995
True,-0.2629738343882956,-0.009972303243038556,0.06666666666666667,0.0,0.6517189835575485,0.35,0.44230011991894097,0,edge_add,-0.11725641396015511
True,-0.2327765052117526,-0.0068498309981376146,0.04,0.0,0.7577092511013216,0.35,0.4446452160127025,0,degree_shift,-0.1189239880443116
True,-0.4217763719200916,-0.030272545722216094,0.26,0.0,0.5770006724949562,0.25,0.45715220350724906,0,homophily_shift,-0.272049244991611
True,-0.2157209198405134,-0.020551960111487386,0.4066666666666667,0.22,0.47679892400806995,0.5,0.4642790357303065,0,homophily_shift,-0.15453060589562104
True,-0.22151605410897696,-0.0070203039784530324,0.04666666666666667,0.0,0.7553333333333333,0.0,0.44395944473928456,1,clean,-0.03355015055722841
True,-0.26629996834881503,-0.009527804966608272,0.06,0.0,0.7553333333333333,0.2,0.4464213594483556,1,feature_noise,-0.0511921243569373
True,-0.3436686597439216,-0.015086966945913128,0.09333333333333334,0.0,0.748,0.45,0.44898111868587903,1,feature_noise,-0.10050956121734685
True,-0.25996856996004936,-0.009807961044593734,0.06666666666666667,0.0,0.7513725490196078,0.15,0.4425969806722417,1,edge_drop,-0.10356159512883475
True,-0.3654910135832296,-0.018282520692520926,0.12,0.0,0.7384615384615385,0.35,0.43715660880616347,1,edge_drop,-0.15667685196502182
True,-0.30208736262259045,-0.01257427338882962,0.08,0.0,0.6915942028985507,0.15,0.4506338440631131,1,edge_add,-0.10583762041800464
True,-0.36452276960553964,-0.018777512060938317,0.12666666666666668,0.0,0.6281481481481481,0.35,0.4450449918810748,1,edge_add,-0.18453716152401692
True,-0.29168418964800075,-0.011593175484786883,0.07333333333333333,0.0,0.7558441558441559,0.35,0.44813133892107404,1,degree_shift,-0.07589950999455548
True,-0.3629757256575895,-0.02621882991453319,0.24,0.02666666666666667,0.582,0.25,0.45800614934961703,1,homophily_shift,-0.16705118945766062
True,-0.2547508437436007,-0.024474112194588823,0.4266666666666667,0.26,0.49066666666666664,0.5,0.48065831175706536,1,homophily_shift,-0.19275458616206845
True,-0.18075142543698303,-0.0036656730873232935,0.02,0.0,0.7644762524398179,0.0,0.4278577715045856,2,clean,-0.06696696629962555
True,-0.18017276755531547,-0.0036665246897055735,0.02,0.0,0.7644762524398179,0.2,0.43306432269252526,2,feature_noise,-0.07139279325325835
True,-0.23446234053441659,-0.0061525690439320655,0.03333333333333333,0.0,0.7625243981782693,0.45,0.4338407634807506,2,feature_noise,-0.08256091734352604
True,-0.19060224242482188,-0.00450882226032952,0.02666666666666667,0.0,0.7605202754399388,0.15,0.4416712201663654,2,edge_drop,-0.054063711819020206
True,-0.29141582727814724,-0.010093124999535876,0.06,0.0,0.78,0.35,0.432558524693061,2,edge_drop,-0.062176690852120575
True,-0.3047727556880618,-0.011363775730331694,0.06666666666666667,0.0,0.7074136955291455,0.15,0.4348168989436106,2,edge_add,-0.11465416282403136
True,-0.30144805628647625,-0.011896655557051324,0.07333333333333333,0.0,0.6494696239151398,0.35,0.4479116356464351,2,edge_add,-0.11146834964832943
True,-0.2523864863676614,-0.007791984258360616,0.04666666666666667,0.0,0.7600341588385995,0.35,0.42355629253163185,2,degree_shift,-0.01220146890521006
True,-0.41508428642786865,-0.029669686661986227,0.26,0.0,0.5783994795055303,0.25,0.4525361489011804,2,homophily_shift,-0.22694518827986973
True,-0.2407605444916107,-0.02348888984628733,0.4666666666666667,0.2733333333333333,0.468445022771633,0.5,0.47736739912037457,2,homophily_shift,-0.17602862254025042
True,-0.18127836703955105,-0.0035865424494808105,0.02,0.0,0.7608261159227182,0.0,0.4143041550193724,3,clean,-0.08913210146779407
True,-0.23327991185335395,-0.005930112903394141,0.03333333333333333,0.0,0.7614923384410394,0.2,0.4097829637177019,3,feature_noise,-0.0976859742886032
True,-0.17493599623540604,-0.003462267659559148,0.02,0.0,0.760159893404397,0.45,0.40607635239279155,3,feature_noise,-0.07616262402915587
True,-0.239328433152712,-0.006825861360198924,0.04,0.0,0.7609717868338558,0.15,0.42133259402814094,3,edge_drop,-0.14395937732641473
True,-0.26853636626815697,-0.01010732877161255,0.07333333333333333,0.0,0.7633196721311475,0.35,0.41468999405025586,3,edge_drop,-0.09110145668285202
True,-0.25128308952839007,-0.007831124101288731,0.04666666666666667,0.0,0.7068366164542295,0.15,0.4204921604780002,3,edge_add,-0.07547417193524371
True,-0.30017317596357346,-0.011868509764032257,0.07333333333333333,0.0,0.646594274432379,0.35,0.4368407455306995,3,edge_add,-0.16368715207946755
True,-0.27431008657420264,-0.008303219755202852,0.04666666666666667,0.0,0.7621483375959079,0.35,0.4324614548862693,3,degree_shift,-0.11473149701663353
True,-0.38022960820424384,-0.028473431548762577,0.2733333333333333,0.013333333333333334,0.5956029313790806,0.25,0.45751795792993427,3,homophily_shift,-0.24177068634095936
True,-0.3180032262357563,-0.031075750909779633,0.44666666666666666,0.20666666666666667,0.48967355096602266,0.5,0.46962964071846075,3,homophily_shift,-0.1676418626873632
True,-0.22667070966758032,-0.0060126074286259434,0.03333333333333333,0.0,0.7505300353356891,0.0,0.449617578111297,4,clean,-0.10702252247247192
True,-0.24855262910757173,-0.007202654467841464,0.04,0.0,0.7498233215547703,0.2,0.4448570248805489,4,feature_noise,-0.13427393637707086
True,-0.18876883869131617,-0.004526347076829855,0.02666666666666667,0.0,0.7512367491166078,0.45,0.4459173153350328,4,feature_noise,-0.0980068667429638
True,-0.275914091836823,-0.00907339794085853,0.05333333333333334,0.0,0.7572734829592684,0.15,0.43743415942136227,4,edge_drop,-0.07731597017744642
True,-0.2504357268740418,-0.008328502433291293,0.05333333333333334,0.0,0.7554347826086957,0.35,0.43561419800241535,4,edge_drop,-0.08071200791119901
True,-0.2217736161143783,-0.006466101872981462,0.04,0.0,0.6982175783650891,0.15,0.43562801439305476,4,edge_add,-0.08775564172935255
True,-0.3047116229457184,-0.0129040378451336,0.08666666666666667,0.0,0.6429319371727749,0.35,0.4543747577923036,4,edge_add,-0.17686152068356317
True,-0.20807388296176482,-0.00556298148352765,0.03333333333333333,0.0,0.760806916426513,0.35,0.44255683901252174,4,degree_shift,0.004710274558606207
True,-0.3893318973589171,-0.029342112061631353,0.28,0.02,0.5795053003533569,0.25,0.46102908454406416,4,homophily_shift,-0.2230887009855665
True,-0.19633235676821545,-0.019870893139134958,0.4266666666666667,0.2866666666666667,0.5144876325088339,0.5,0.4677253365751587,4,homophily_shift,-0.13324414715719063
