delta_tolerance,final_accuracy,final_ece,intensity,max_delta_observed,max_phi_observed,phi_tolerance,seed,shift,trigger_reason,trigger_step,triggered
0.02,0.6545454545454545,0.18474597498665546,0.5,0.009008204434231226,0.06333333333333334,0.1,0,homophily_shift,,,False
0.05,0.6545454545454545,0.18474597498665546,0.5,0.009008204434231226,0.06333333333333334,0.2,0,homophily_shift,,,False
0.1,0.6545454545454545,0.18474597498665546,0.5,0.009008204434231226,0.06333333333333334,0.3,0,homophily_shift,,,False
0.2,0.6545454545454545,0.18474597498665546,0.5,0.009008204434231226,0.06333333333333334,0.5,0,homophily_shift,,,False
0.5,0.6545454545454545,0.18474597498665546,0.5,0.009008204434231226,0.06333333333333334,1.0,0,homophily_shift,,,False
0.02,0.8424242424242424,0.2671153974193936,0.25,0.019618769363065353,0.02666666666666667,0.1,0,homophily_shift,delta>0.020,50,True
0.05,0.8424242424242424,0.262739573663738,0.25,0.023415140631041036,0.02666666666666667,0.2,0,homophily_shift,,,False
0.1,0.8424242424242424,0.262739573663738,0.25,0.023415140631041036,0.02666666666666667,0.3,0,homophily_shift,,,False
0.2,0.8424242424242424,0.262739573663738,0.25,0.023415140631041036,0.02666666666666667,0.5,0,homophily_shift,,,False
0.5,0.8424242424242424,0.262739573663738,0.25,0.023415140631041036,0.02666666666666667,1.0,0,homophily_shift,,,False
0.02,0.9696969696969697,0.22825497520164498,0.45,0.01948965436158767,0.013333333333333334,0.1,0,feature_noise,delta>0.020,25,True
0.05,0.9575757575757575,0.19215530439348752,0.45,0.040229864981564334,0.02,0.2,0,feature_noise,,,False
0.1,0.9575757575757575,0.19215530439348752,0.45,0.040229864981564334,0.02,0.3,0,feature_noise,,,False
0.2,0.9575757575757575,0.19215530439348752,0.45,0.040229864981564334,0.02,0.5,0,feature_noise,,,False
0.5,0.9575757575757575,0.19215530439348752,0.45,0.040229864981564334,0.02,1.0,0,feature_noise,,,False
0.02,0.6181818181818182,0.16207140575245674,0.5,0.012407312804772566,0.1,0.1,1,homophily_shift,,,False
0.05,0.6181818181818182,0.16207140575245674,0.5,0.012407312804772566,0.1,0.2,1,homophily_shift,,,False
0.1,0.6181818181818182,0.16207140575245674,0.5,0.012407312804772566,0.1,0.3,1,homophily_shift,,,False
0.2,0.6181818181818182,0.16207140575245674,0.5,0.012407312804772566,0.1,0.5,1,homophily_shift,,,False
0.5,0.6181818181818182,0.16207140575245674,0.5,0.012407312804772566,0.1,1.0,1,homophily_shift,,,False
0.02,0.8303030303030303,0.31880727751062965,0.25,0.0174564374763931,0.016666666666666666,0.1,1,homophily_shift,,,False
0.05,0.8303030303030303,0.31880727751062965,0.25,0.0174564374763931,0.016666666666666666,0.2,1,homophily_shift,,,False
0.1,0.8303030303030303,0.31880727751062965,0.25,0.0174564374763931,0.016666666666666666,0.3,1,homophily_shift,,,False
0.2,0.8303030303030303,0.31880727751062965,0.25,0.0174564374763931,0.016666666666666666,0.5,1,homophily_shift,,,False
0.5,0.8303030303030303,0.31880727751062965,0.25,0.0174564374763931,0.016666666666666666,1.0,1,homophily_shift,,,False
0.02,0.9575757575757575,0.2932686234677476,0.45,0.019912712963064922,0.006666666666666667,0.1,1,feature_noise,delta>0.020,26,True
0.05,0.9454545454545454,0.2654391109806428,0.45,0.04300744999112923,0.03,0.2,1,feature_noise,,,False
0.1,0.9454545454545454,0.2654391109806428,0.45,0.04300744999112923,0.03,0.3,1,feature_noise,,,False
0.2,0.9454545454545454,0.2654391109806428,0.45,0.04300744999112923,0.03,0.5,1,feature_noise,,,False
0.5,0.9454545454545454,0.2654391109806428,0.45,0.04300744999112923,0.03,1.0,1,feature_noise,,,False
0.02,0.6,0.10050150976271438,0.5,0.010329120092286351,0.1,0.1,2,homophily_shift,phi>0.100,36,True
0.05,0.5757575757575758,0.08412029849188327,0.5,0.02531198722089813,0.16,0.2,2,homophily_shift,,,False
0.1,0.5757575757575758,0.08412029849188327,0.5,0.02531198722089813,0.16,0.3,2,homophily_shift,,,False
0.2,0.5757575757575758,0.08412029849188327,0.5,0.02531198722089813,0.16,0.5,2,homophily_shift,,,False
0.5,0.5757575757575758,0.08412029849188327,0.5,0.02531198722089813,0.16,1.0,2,homophily_shift,,,False
0.02,0.9030303030303031,0.2970770032285644,0.25,0.01984289815639499,0.02666666666666667,0.1,2,homophily_shift,delta>0.020,48,True
0.05,0.9030303030303031,0.2919165175181759,0.25,0.024764936890144695,0.03666666666666667,0.2,2,homophily_shift,,,False
0.1,0.9030303030303031,0.2919165175181759,0.25,0.024764936890144695,0.03666666666666667,0.3,2,homophily_shift,,,False
0.2,0.9030303030303031,0.2919165175181759,0.25,0.024764936890144695,0.03666666666666667,0.5,2,homophily_shift,,,False
0.5,0.9030303030303031,0.2919165175181759,0.25,0.024764936890144695,0.03666666666666667,1.0,2,homophily_shift,,,False
0.02,0.9939393939393939,0.19783603264436128,0.45,0.019494253465266415,0.0,0.1,2,feature_noise,delta>0.020,26,True
0.05,0.9939393939393939,0.17589300716222692,0.45,0.04036978932192129,0.0,0.2,2,feature_noise,,,False
0.1,0.9939393939393939,0.17589300716222692,0.45,0.04036978932192129,0.0,0.3,2,feature_noise,,,False
0.2,0.9939393939393939,0.17589300716222692,0.45,0.04036978932192129,0.0,0.5,2,feature_noise,,,False
0.5,0.9939393939393939,0.17589300716222692,0.45,0.04036978932192129,0.0,1.0,2,feature_noise,,,False
