accuracy,attack,base_accuracy,detector_triggered,ece,intensity,macro_f1,method,nll,seed
0.9818181818181818,adv_edge_add,0.9818181818181818,,0.026583206653594968,0.1,0.9817620790097853,source_only,0.05441572144627571,0
0.9818181818181818,adv_edge_add,0.9818181818181818,,0.022268686330679695,0.1,0.9817620790097853,entropy_all_nodes,0.052601806819438934,0
0.9818181818181818,adv_edge_add,0.9818181818181818,False,0.026311238968011103,0.1,0.9817620790097853,full_method,0.05325672775506973,0
0.9757575757575757,adv_edge_add,0.9757575757575757,,0.04977326519561537,0.2,0.9756423089756424,source_only,0.09634006023406982,0
0.9696969696969697,adv_edge_add,0.9757575757575757,,0.04713054353540594,0.2,0.969639865052709,entropy_all_nodes,0.09141572564840317,0
0.9696969696969697,adv_edge_add,0.9757575757575757,False,0.05102636163884943,0.2,0.969639865052709,full_method,0.09245529025793076,0
0.9757575757575757,adv_feature,0.9757575757575757,,0.03697634899255001,0.2,0.9755688231226718,source_only,0.08100352436304092,0
0.9696969696969697,adv_feature,0.9757575757575757,,0.026249785856767134,0.2,0.969515911104696,entropy_all_nodes,0.07625862210988998,0
0.9696969696969697,adv_feature,0.9757575757575757,False,0.02493392518072417,0.2,0.969515911104696,full_method,0.07812755554914474,0
0.9333333333333333,adv_feature,0.9333333333333333,,0.053445109092828014,0.4,0.9315145353843418,source_only,0.24285662174224854,0
0.9393939393939394,adv_feature,0.9333333333333333,,0.05362065849882183,0.4,0.9381808488433209,entropy_all_nodes,0.21458540856838226,0
0.9454545454545454,adv_feature,0.9333333333333333,False,0.06599926767927226,0.4,0.9442060928705015,full_method,0.2261723130941391,0
0.9696969696969697,adv_edge_add,0.9696969696969697,,0.022616496230616727,0.1,0.969513512429731,source_only,0.09921790659427643,1
0.9696969696969697,adv_edge_add,0.9696969696969697,,0.024415627934715974,0.1,0.969513512429731,entropy_all_nodes,0.09911283850669861,1
0.9696969696969697,adv_edge_add,0.9696969696969697,False,0.024635794307246363,0.1,0.969513512429731,full_method,0.09929422289133072,1
0.9636363636363636,adv_edge_add,0.9636363636363636,,0.05136068698131677,0.2,0.9632735089405653,source_only,0.14168226718902588,1
0.9636363636363636,adv_edge_add,0.9636363636363636,,0.043563722841667395,0.2,0.9632735089405653,entropy_all_nodes,0.14047496020793915,1
0.9636363636363636,adv_edge_add,0.9636363636363636,False,0.04417098038124315,0.2,0.9632735089405653,full_method,0.14160043001174927,1
0.9636363636363636,adv_feature,0.9636363636363636,,0.018920023874803057,0.2,0.9636677792970523,source_only,0.11274922639131546,1
0.9696969696969697,adv_feature,0.9636363636363636,,0.019765778924479664,0.2,0.9696870830940275,entropy_all_nodes,0.11029563844203949,1
0.9636363636363636,adv_feature,0.9636363636363636,False,0.02339130965146153,0.2,0.9636677792970523,full_method,0.11189598590135574,1
0.9333333333333333,adv_feature,0.9333333333333333,,0.05648307890603038,0.4,0.9334418667752001,source_only,0.22749659419059753,1
0.9272727272727272,adv_feature,0.9333333333333333,,0.05585666623982514,0.4,0.9274024193669875,entropy_all_nodes,0.21792779862880707,1
0.9272727272727272,adv_feature,0.9333333333333333,False,0.05365739609255932,0.4,0.9274024193669875,full_method,0.22353525459766388,1
0.9878787878787879,adv_edge_add,0.9878787878787879,,0.027415422598520915,0.1,0.9878782869608557,source_only,0.03710402175784111,2
0.9878787878787879,adv_edge_add,0.9878787878787879,,0.02647254394762444,0.1,0.9878782869608557,entropy_all_nodes,0.035955239087343216,2
0.9878787878787879,adv_edge_add,0.9878787878787879,False,0.026883820692698165,0.1,0.9878782869608557,full_method,0.036613691598176956,2
0.9757575757575757,adv_edge_add,0.9757575757575757,,0.040518370541659264,0.2,0.9756928156460867,source_only,0.07920738309621811,2
0.9818181818181818,adv_edge_add,0.9757575757575757,,0.04274117422826362,0.2,0.9818141734808402,entropy_all_nodes,0.07204188406467438,2
0.9818181818181818,adv_edge_add,0.9757575757575757,False,0.043289510047797,0.2,0.9818141734808402,full_method,0.07599841058254242,2
0.9878787878787879,adv_feature,0.9878787878787879,,0.02777350635239572,0.2,0.9878782869608557,source_only,0.03954170644283295,2
0.9878787878787879,adv_feature,0.9878787878787879,,0.0251382285898382,0.2,0.9878782869608557,entropy_all_nodes,0.03844507783651352,2
0.9878787878787879,adv_feature,0.9878787878787879,False,0.025599425128011992,0.2,0.9878782869608557,full_method,0.038980863988399506,2
0.9818181818181818,adv_feature,0.9818181818181818,,0.09161175922913985,0.4,0.9818151484818151,source_only,0.1384853720664978,2
0.9878787878787879,adv_feature,0.9818181818181818,,0.08630654161626643,0.4,0.9878782869608557,entropy_all_nodes,0.12166135013103485,2
0.9878787878787879,adv_feature,0.9818181818181818,False,0.0889797972910332,0.4,0.9878782869608557,full_method,0.12633207440376282,2
0.9878787878787879,adv_edge_add,0.9878787878787879,,0.023865570082808985,0.1,0.9879314110965486,source_only,0.06708727777004242,3
0.9878787878787879,adv_edge_add,0.9878787878787879,,0.02512111591570305,0.1,0.9879314110965486,entropy_all_nodes,0.06588692218065262,3
0.9878787878787879,adv_edge_add,0.9878787878787879,False,0.024456935940366804,0.1,0.9879314110965486,full_method,0.06627382338047028,3
0.9696969696969697,adv_edge_add,0.9696969696969697,,0.03287654356522994,0.2,0.9696954669431733,source_only,0.10536587238311768,3
0.9696969696969697,adv_edge_add,0.9696969696969697,,0.04347240708091042,0.2,0.9696954669431733,entropy_all_nodes,0.09993956238031387,3
0.9696969696969697,adv_edge_add,0.9696969696969697,False,0.036816953709631256,0.2,0.9696954669431733,full_method,0.1013830229640007,3
0.9757575757575757,adv_feature,0.9757575757575757,,0.019402117440194794,0.2,0.9758091424758092,source_only,0.08427651971578598,3
0.9818181818181818,adv_feature,0.9757575757575757,,0.03794142585812192,0.2,0.9818722809548498,entropy_all_nodes,0.08160651475191116,3
0.9818181818181818,adv_feature,0.9757575757575757,False,0.02450861677978978,0.2,0.9818722809548498,full_method,0.08260957896709442,3
0.9393939393939394,adv_feature,0.9393939393939394,,0.05902468507940119,0.4,0.9399674399674399,source_only,0.2145359218120575,3
0.9454545454545454,adv_feature,0.9393939393939394,,0.06239464608105746,0.4,0.9457248007465888,entropy_all_nodes,0.19450752437114716,3
0.9454545454545454,adv_feature,0.9393939393939394,False,0.060056727943998384,0.4,0.9457248007465888,full_method,0.1970512866973877,3
0.9696969696969697,adv_edge_add,0.9696969696969697,,0.015771323261838978,0.1,0.9697839872481225,source_only,0.0723603218793869,4
0.9696969696969697,adv_edge_add,0.9696969696969697,,0.024211002479900018,0.1,0.9697839872481225,entropy_all_nodes,0.06872128695249557,4
0.9696969696969697,adv_edge_add,0.9696969696969697,False,0.02411316524852406,0.1,0.9697839872481225,full_method,0.06887328624725342,4
0.9515151515151515,adv_edge_add,0.9515151515151515,,0.04328384038173791,0.2,0.9514670037013632,source_only,0.1515975445508957,4
0.9515151515151515,adv_edge_add,0.9515151515151515,,0.03547119227322665,0.2,0.9514670037013632,entropy_all_nodes,0.1487351655960083,4
0.9515151515151515,adv_edge_add,0.9515151515151515,False,0.036039529424725165,0.2,0.95136779791981,full_method,0.1476125717163086,4
0.9636363636363636,adv_feature,0.9636363636363636,,0.038274206175948636,0.2,0.9638157729719424,source_only,0.0907014012336731,4
0.9636363636363636,adv_feature,0.9636363636363636,,0.025580816919153385,0.2,0.9638157729719424,entropy_all_nodes,0.08582892268896103,4
0.9636363636363636,adv_feature,0.9636363636363636,False,0.027839806946841152,0.2,0.9638157729719424,full_method,0.08776390552520752,4
0.9333333333333333,adv_feature,0.9333333333333333,,0.07934910293781396,0.4,0.9332415857839585,source_only,0.2080068439245224,4
0.9575757575757575,adv_feature,0.9333333333333333,,0.07088819688016719,0.4,0.9578343253251083,entropy_all_nodes,0.19002380967140198,4
0.9454545454545454,adv_feature,0.9333333333333333,False,0.06658873250990206,0.4,0.9456127315411392,full_method,0.19892029464244843,4
