accuracy,detector_triggered,ece,intensity,method,nll,seed,shift,step,stream
0.975,,0.03458770116170248,0.05,source_only,0.072355717420578,0,feature_noise,0,feature_drift_stream
0.975,,0.026615468164285023,0.05,entropy_all_nodes,0.07241924852132797,0,feature_noise,0,feature_drift_stream
0.975,False,0.025608761111895244,0.05,full_method,0.07244860380887985,0,feature_noise,0,feature_drift_stream
0.975,,0.02607745925585429,0.1,source_only,0.07277797162532806,0,feature_noise,1,feature_drift_stream
0.975,,0.04384551544984182,0.1,entropy_all_nodes,0.0725521594285965,0,feature_noise,1,feature_drift_stream
0.975,False,0.028956432640552518,0.1,full_method,0.07257426530122757,0,feature_noise,1,feature_drift_stream
0.975,,0.027518864969412485,0.2,source_only,0.0734558030962944,0,feature_noise,2,feature_drift_stream
0.975,,0.0439113254348437,0.2,entropy_all_nodes,0.07340066879987717,0,feature_noise,2,feature_drift_stream
0.975,False,0.04424630304177602,0.2,full_method,0.07363294064998627,0,feature_noise,2,feature_drift_stream
0.9666666666666667,,0.02687236915032071,0.3,source_only,0.1209319680929184,0,feature_noise,3,feature_drift_stream
0.9666666666666667,,0.03561331853270528,0.3,entropy_all_nodes,0.11896681785583496,0,feature_noise,3,feature_drift_stream
0.9666666666666667,False,0.02897155458728475,0.3,full_method,0.11925745010375977,0,feature_noise,3,feature_drift_stream
0.975,,0.0377944881717364,0.4,source_only,0.0744263306260109,0,feature_noise,4,feature_drift_stream
0.975,,0.022005361815293632,0.4,entropy_all_nodes,0.07434780895709991,0,feature_noise,4,feature_drift_stream
0.975,False,0.01849160293738047,0.4,full_method,0.07463480532169342,0,feature_noise,4,feature_drift_stream
0.9833333333333333,,0.013186881442864735,0.05,source_only,0.03177042305469513,1,feature_noise,0,feature_drift_stream
0.9833333333333333,,0.01253386636575063,0.05,entropy_all_nodes,0.031404007226228714,1,feature_noise,0,feature_drift_stream
0.9833333333333333,False,0.012831676751375198,0.05,full_method,0.03153054043650627,1,feature_noise,0,feature_drift_stream
0.9916666666666667,,0.017373004058996836,0.1,source_only,0.02639525942504406,1,feature_noise,1,feature_drift_stream
0.9916666666666667,,0.016843204200267792,0.1,entropy_all_nodes,0.026271048933267593,1,feature_noise,1,feature_drift_stream
0.9916666666666667,False,0.01701728031039238,0.1,full_method,0.02622941881418228,1,feature_noise,1,feature_drift_stream
0.975,,0.020310703913370767,0.2,source_only,0.03998957946896553,1,feature_noise,2,feature_drift_stream
0.975,,0.019883780181407927,0.2,entropy_all_nodes,0.04024992510676384,1,feature_noise,2,feature_drift_stream
0.975,False,0.019844756027062732,0.2,full_method,0.03994551673531532,1,feature_noise,2,feature_drift_stream
0.9833333333333333,,0.023966800173123675,0.3,source_only,0.05083651840686798,1,feature_noise,3,feature_drift_stream
0.9833333333333333,,0.02832258194684982,0.3,entropy_all_nodes,0.04755731299519539,1,feature_noise,3,feature_drift_stream
0.9833333333333333,False,0.023573505878448486,0.3,full_method,0.048360347747802734,1,feature_noise,3,feature_drift_stream
0.9583333333333334,,0.042074771722157796,0.4,source_only,0.0683707669377327,1,feature_noise,4,feature_drift_stream
0.9666666666666667,,0.025216998159885404,0.4,entropy_all_nodes,0.060126546770334244,1,feature_noise,4,feature_drift_stream
0.9583333333333334,False,0.035211382061243066,0.4,full_method,0.0630347728729248,1,feature_noise,4,feature_drift_stream
0.9833333333333333,,0.024261459211508386,0.05,source_only,0.07298595458269119,2,feature_noise,0,feature_drift_stream
0.9833333333333333,,0.024655414869387892,0.05,entropy_all_nodes,0.07300438731908798,2,feature_noise,0,feature_drift_stream
0.9833333333333333,False,0.024475814153750684,0.05,full_method,0.07294102013111115,2,feature_noise,0,feature_drift_stream
0.9666666666666667,,0.0324914703766505,0.1,source_only,0.06421250849962234,2,feature_noise,1,feature_drift_stream
0.9666666666666667,,0.0323562482992808,0.1,entropy_all_nodes,0.0644102618098259,2,feature_noise,1,feature_drift_stream
0.9666666666666667,False,0.03225761329134305,0.1,full_method,0.06410037726163864,2,feature_noise,1,feature_drift_stream
0.9666666666666667,,0.026178119331598252,0.2,source_only,0.08589526265859604,2,feature_noise,2,feature_drift_stream
0.9666666666666667,,0.02704718808333076,0.2,entropy_all_nodes,0.08592336624860764,2,feature_noise,2,feature_drift_stream
0.9666666666666667,False,0.026682025194168058,0.2,full_method,0.08565567433834076,2,feature_noise,2,feature_drift_stream
0.975,,0.0398219292362531,0.3,source_only,0.07614840567111969,2,feature_noise,3,feature_drift_stream
0.975,,0.038222927351792654,0.3,entropy_all_nodes,0.07525932043790817,2,feature_noise,3,feature_drift_stream
0.975,False,0.03829100305835406,0.3,full_method,0.07552189379930496,2,feature_noise,3,feature_drift_stream
0.9583333333333334,,0.01681028505166372,0.4,source_only,0.12919633090496063,2,feature_noise,4,feature_drift_stream
0.9583333333333334,,0.029850957791010536,0.4,entropy_all_nodes,0.13216274976730347,2,feature_noise,4,feature_drift_stream
0.9583333333333334,False,0.02876066962877909,0.4,full_method,0.13063831627368927,2,feature_noise,4,feature_drift_stream
0.9916666666666667,,0.043828116605679195,0.05,source_only,0.06910344958305359,3,feature_noise,0,feature_drift_stream
