dataset,shift,intensity,method_a,method_b,n,accuracy_diff,accuracy_p,accuracy_significant,macro_f1_diff,macro_f1_p,macro_f1_significant,nll_diff,nll_p,nll_significant,ece_diff,ece_p,ece_significant,brier_diff,brier_p,brier_significant
synthetic,clean,0,full_method,source_only,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00080875,0.00116266,1,-0.00171162,0.01101412,1,-0.00036361,0.01767349,1
synthetic,clean,0,full_method,entropy_all_nodes,5,0.00095238,0.31731051,0,0.00095238,0.31731051,0,0.00079693,0.01295899,1,0.00120443,0.08585875,0,0.00044284,0.00664295,1
synthetic,clean,0,full_method,tent_entropy,5,0.00095238,0.31731051,0,0.00095238,0.31731051,0,0.00082551,0.01255345,1,0.00121857,0.08282532,0,0.00045659,0.00671278,1
synthetic,clean,0,full_method,eata_filter,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00065162,0.00503048,1,-0.00157154,0.02563742,1,-0.00031445,0.03716934,1
synthetic,clean,0,full_method,graph_tta_consistency,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00115388,0.00000000,1,-0.00117633,0.00000000,1,-0.00027399,0.00000000,1
synthetic,clean,0,full_method,matcha_reliable,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00054023,0.00000001,1,-0.00049764,0.00235449,1,-0.00026252,0.00000010,1
synthetic,degree_shift,0.35,full_method,source_only,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00080875,0.00116266,1,-0.00171162,0.01101412,1,-0.00036361,0.01767349,1
synthetic,degree_shift,0.35,full_method,entropy_all_nodes,5,0.00095238,0.31731051,0,0.00095238,0.31731051,0,0.00079693,0.01295899,1,0.00120443,0.08585875,0,0.00044284,0.00664295,1
synthetic,degree_shift,0.35,full_method,tent_entropy,5,0.00095238,0.31731051,0,0.00095238,0.31731051,0,0.00082551,0.01255345,1,0.00121857,0.08282532,0,0.00045659,0.00671278,1
synthetic,degree_shift,0.35,full_method,eata_filter,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00065162,0.00503048,1,-0.00157154,0.02563742,1,-0.00031445,0.03716934,1
synthetic,degree_shift,0.35,full_method,graph_tta_consistency,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00115388,0.00000000,1,-0.00117633,0.00000000,1,-0.00027399,0.00000000,1
synthetic,degree_shift,0.35,full_method,matcha_reliable,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00054023,0.00000001,1,-0.00049764,0.00235449,1,-0.00026252,0.00000010,1
synthetic,edge_add,0.15,full_method,source_only,5,-0.00095238,0.31731051,0,-0.00095214,0.31731051,0,-0.00266620,0.00000007,1,-0.00217495,0.14527771,0,-0.00108736,0.00021004,1
synthetic,edge_add,0.15,full_method,entropy_all_nodes,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,0.00155478,0.00157022,1,-0.00034470,0.86814564,0,0.00066701,0.01893625,1
synthetic,edge_add,0.15,full_method,tent_entropy,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,0.00162306,0.00132370,1,-0.00028693,0.88996040,0,0.00069077,0.01764291,1
synthetic,edge_add,0.15,full_method,eata_filter,5,-0.00095238,0.31731051,0,-0.00095214,0.31731051,0,-0.00170663,0.00000001,1,-0.00097475,0.14540915,0,-0.00080077,0.00015431,1
synthetic,edge_add,0.15,full_method,graph_tta_consistency,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00263419,0.00000000,1,-0.00303632,0.00000000,1,-0.00060113,0.00000000,1
synthetic,edge_add,0.15,full_method,matcha_reliable,5,0.00095238,0.31731051,0,0.00093505,0.31731051,0,-0.00199089,0.00339499,1,-0.00216733,0.13704930,0,-0.00098830,0.03631728,1
synthetic,edge_add,0.35,full_method,source_only,5,0.00476190,0.00156540,1,0.00466583,0.00163144,1,-0.00731456,0.00000000,1,-0.00345263,0.02427322,1,-0.00308378,0.00000719,1
synthetic,edge_add,0.35,full_method,entropy_all_nodes,5,-0.00190476,0.31731051,0,-0.00191210,0.31944549,0,0.00199449,0.00000000,1,-0.00156864,0.45954801,0,0.00089416,0.00000163,1
synthetic,edge_add,0.35,full_method,tent_entropy,5,-0.00190476,0.31731051,0,-0.00191210,0.31944549,0,0.00215185,0.00000000,1,-0.00164741,0.42301777,0,0.00095088,0.00000057,1
synthetic,edge_add,0.35,full_method,eata_filter,5,0.00380952,0.03250944,1,0.00371360,0.03361636,1,-0.00381079,0.00000048,1,-0.00210361,0.08740671,0,-0.00205351,0.00007107,1
synthetic,edge_add,0.35,full_method,graph_tta_consistency,5,0.00095238,0.31731051,0,0.00093065,0.31731051,0,-0.00506164,0.00000000,1,-0.00594450,0.00000000,1,-0.00130082,0.00000000,1
synthetic,edge_add,0.35,full_method,matcha_reliable,5,0.00285714,0.13361440,0,0.00278113,0.13699826,0,-0.00331059,0.00295027,1,-0.00094272,0.73712437,0,-0.00170007,0.01535941,1
synthetic,edge_drop,0.15,full_method,source_only,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00040067,0.28349401,0,-0.00122196,0.59422534,0,-0.00027730,0.03616855,1
synthetic,edge_drop,0.15,full_method,entropy_all_nodes,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,0.00045534,0.27467679,0,-0.00101499,0.23895052,0,0.00032208,0.00505812,1
synthetic,edge_drop,0.15,full_method,tent_entropy,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,0.00046561,0.28008158,0,-0.00099218,0.24727054,0,0.00033033,0.00548510,1
synthetic,edge_drop,0.15,full_method,eata_filter,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00029212,0.39886605,0,-0.00150964,0.49446858,0,-0.00024327,0.05663724,0
synthetic,edge_drop,0.15,full_method,graph_tta_consistency,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00071116,0.02314103,1,0.00055137,0.38751001,0,-0.00011284,0.00000000,1
synthetic,edge_drop,0.15,full_method,matcha_reliable,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,-0.00024921,0.05605385,0,-0.00174869,0.47835359,0,-0.00017620,0.00000000,1
synthetic,edge_drop,0.35,full_method,source_only,5,0.00095238,0.31731051,0,0.00095248,0.31731051,0,-0.00006234,0.95627495,0,-0.00428189,0.00081169,1,0.00008565,0.89910176,0
synthetic,edge_drop,0.35,full_method,entropy_all_nodes,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,0.00107270,0.02277316,1,-0.00010831,0.92735444,0,0.00055564,0.01961520,1
synthetic,edge_drop,0.35,full_method,tent_entropy,5,0.00000000,1.00000000,0,0.00000000,1.00000000,0,0.00108423,0.02571206,1,-0.00010122,0.93227722,0,0.00055898,0.02242789,1
synthetic,edge_drop,0.35,full_method,eata_filter,5,0.00000000,1.00000000,0,-0.00000082,0.99956355,0,0.00003418,0.97542183,0,-0.00426367,0.00088664,1,0.00013227,0.84255431,0
