assumption_holds,corr_r_e,corr_r_eg,cov_r_e,cov_r_eg,error_rate_bottom50_reliability,error_rate_top50_reliability,estimated_homophily,intensity,mean_reliability,seed,shift,spearman_r_e
True,-0.3603286783480348,-0.34106440617101075,-0.007034447376969682,-0.0013337246194411157,0.03333333333333333,0.0,0.7652992602555481,0.0,0.4401295275221046,0,clean,-0.0513494594384382
True,-0.41615596189666915,-0.38716480530190467,-0.009684502853826745,-0.0020585958970237924,0.04666666666666667,0.0,0.7626092804303968,0.2,0.4369937635230559,0,feature_noise,-0.08344981610906786
True,-0.4552197108852862,-0.4289032302688549,-0.013023493793789892,-0.002923273661879585,0.06666666666666667,0.0,0.7592468056489576,0.45,0.42877249078159035,0,feature_noise,-0.0943663818486872
True,-0.45248940869722987,-0.39057674677540594,-0.013772770391826273,-0.0023878111133728654,0.07333333333333333,0.0,0.747626582278481,0.15,0.4291989650399652,0,edge_drop,-0.07404748941654907
True,-0.47954066301917536,-0.4633927107051009,-0.018821357528162164,-0.003359902961233432,0.11333333333333333,0.006666666666666667,0.7704239917269907,0.35,0.42383847317647755,0,edge_drop,-0.13067434082600918
True,-0.403810402380693,-0.3780662685542461,-0.010668275826260636,-0.002077408787192917,0.05333333333333334,0.0,0.7035087719298245,0.15,0.42624508710534104,0,edge_add,-0.08610184557606196
True,-0.45012422325773976,-0.4201758430409769,-0.015505624011930888,-0.003129871472069082,0.08666666666666667,0.0,0.6442451420029895,0.35,0.41197881059876634,0,edge_add,-0.10312647918310204
True,-0.3603286783480348,-0.34106440617101075,-0.007034447376969682,-0.0013337246194411157,0.03333333333333333,0.0,0.7652992602555481,0.35,0.4401295275221046,0,degree_shift,-0.0513494594384382
True,-0.5093168093347856,-0.4497035038466937,-0.03556843664054661,-0.006597633225890377,0.3,0.02,0.5938130464021519,0.25,0.4008191823916808,0,homophily_shift,-0.34766252958366206
True,-0.28053520878708216,-0.174970069099488,-0.02900557324615053,-0.004157590122348182,0.4666666666666667,0.24,0.46267652992602554,0.5,0.448005112815959,0,homophily_shift,-0.2452760586228736
True,-0.2815291459291215,-0.31036653592650393,-0.006471862237624955,-0.0014542954221632139,0.03333333333333333,0.006666666666666667,0.7513333333333333,0.0,0.43564076998083484,1,clean,-0.023880265336281514
True,-0.37773137170953164,-0.348679761212728,-0.010818177130274461,-0.0017437556509516132,0.06,0.0,0.75,0.2,0.43973852182480233,1,feature_noise,-0.06884698718874654
True,-0.45676102333149654,-0.3863055574190684,-0.017128198856648607,-0.0024536105505845894,0.10666666666666667,0.0,0.7326666666666667,0.45,0.4234422690111167,1,feature_noise,-0.15756663962932918
True,-0.3722938352462273,-0.3298080281319281,-0.011687123903853574,-0.002104132924097422,0.07333333333333333,0.0,0.7482352941176471,0.15,0.4319038781965156,1,edge_drop,-0.09897398859987333
