delta_tolerance,final_accuracy,final_ece,intensity,max_delta_observed,max_phi_observed,phi_tolerance,seed,shift,trigger_reason,trigger_step,triggered
0.02,0.5818181818181818,0.21197653214136758,0.5,0.009938657283782959,0.08333333333333333,0.1,0,homophily_shift,,,False
0.05,0.5818181818181818,0.21197653214136758,0.5,0.009938657283782959,0.08333333333333333,0.2,0,homophily_shift,,,False
0.1,0.5818181818181818,0.21197653214136758,0.5,0.009938657283782959,0.08333333333333333,0.3,0,homophily_shift,,,False
0.2,0.5818181818181818,0.21197653214136758,0.5,0.009938657283782959,0.08333333333333333,0.5,0,homophily_shift,,,False
0.5,0.5818181818181818,0.21197653214136758,0.5,0.009938657283782959,0.08333333333333333,1.0,0,homophily_shift,,,False
0.02,0.793939393939394,0.08358790531302945,0.25,0.005119800567626953,0.02,0.1,0,homophily_shift,,,False
0.05,0.793939393939394,0.08358790531302945,0.25,0.005119800567626953,0.02,0.2,0,homophily_shift,,,False
0.1,0.793939393939394,0.08358790531302945,0.25,0.005119800567626953,0.02,0.3,0,homophily_shift,,,False
0.2,0.793939393939394,0.08358790531302945,0.25,0.005119800567626953,0.02,0.5,0,homophily_shift,,,False
0.5,0.793939393939394,0.08358790531302945,0.25,0.005119800567626953,0.02,1.0,0,homophily_shift,,,False
0.02,0.9575757575757575,0.025106721935850205,0.45,0.00043656428654988605,0.0,0.1,0,feature_noise,,,False
0.05,0.9575757575757575,0.025106721935850205,0.45,0.00043656428654988605,0.0,0.2,0,feature_noise,,,False
0.1,0.9575757575757575,0.025106721935850205,0.45,0.00043656428654988605,0.0,0.3,0,feature_noise,,,False
0.2,0.9575757575757575,0.025106721935850205,0.45,0.00043656428654988605,0.0,0.5,0,feature_noise,,,False
0.5,0.9575757575757575,0.025106721935850205,0.45,0.00043656428654988605,0.0,1.0,0,feature_noise,,,False
0.02,0.6060606060606061,0.19831696875167615,0.5,0.014789124329884848,0.09,0.1,1,homophily_shift,,,False
0.05,0.6060606060606061,0.19831696875167615,0.5,0.014789124329884848,0.09,0.2,1,homophily_shift,,,False
0.1,0.6060606060606061,0.19831696875167615,0.5,0.014789124329884848,0.09,0.3,1,homophily_shift,,,False
0.2,0.6060606060606061,0.19831696875167615,0.5,0.014789124329884848,0.09,0.5,1,homophily_shift,,,False
0.5,0.6060606060606061,0.19831696875167615,0.5,0.014789124329884848,0.09,1.0,1,homophily_shift,,,False
0.02,0.806060606060606,0.09357215075781855,0.25,0.002456823984781901,0.016666666666666666,0.1,1,homophily_shift,,,False
0.05,0.806060606060606,0.09357215075781855,0.25,0.002456823984781901,0.016666666666666666,0.2,1,homophily_shift,,,False
0.1,0.806060606060606,0.09357215075781855,0.25,0.002456823984781901,0.016666666666666666,0.3,1,homophily_shift,,,False
0.2,0.806060606060606,0.09357215075781855,0.25,0.002456823984781901,0.016666666666666666,0.5,1,homophily_shift,,,False
0.5,0.806060606060606,0.09357215075781855,0.25,0.002456823984781901,0.016666666666666666,1.0,1,homophily_shift,,,False
0.02,0.9515151515151515,0.039233519814231156,0.45,0.0016092856725056965,0.01,0.1,1,feature_noise,,,False
0.05,0.9515151515151515,0.039233519814231156,0.45,0.0016092856725056965,0.01,0.2,1,feature_noise,,,False
0.1,0.9515151515151515,0.039233519814231156,0.45,0.0016092856725056965,0.01,0.3,1,feature_noise,,,False
0.2,0.9515151515151515,0.039233519814231156,0.45,0.0016092856725056965,0.01,0.5,1,feature_noise,,,False
0.5,0.9515151515151515,0.039233519814231156,0.45,0.0016092856725056965,0.01,1.0,1,feature_noise,,,False
0.02,0.5757575757575758,0.18862139907750214,0.5,0.009213109811147055,0.1,0.1,2,homophily_shift,phi>0.100,26,True
0.05,0.5454545454545454,0.24682997898621994,0.5,0.03198303778966268,0.2,0.2,2,homophily_shift,phi>0.200,43,True
0.1,0.5272727272727272,0.30971933368480564,0.5,0.06153106689453125,0.26666666666666666,0.3,2,homophily_shift,,,False
0.2,0.5272727272727272,0.30971933368480564,0.5,0.06153106689453125,0.26666666666666666,0.5,2,homophily_shift,,,False
0.5,0.5272727272727272,0.30971933368480564,0.5,0.06153106689453125,0.26666666666666666,1.0,2,homophily_shift,,,False
0.02,0.896969696969697,0.06497973853891546,0.25,0.004072368144989014,0.0033333333333333335,0.1,2,homophily_shift,,,False
0.05,0.896969696969697,0.06497973853891546,0.25,0.004072368144989014,0.0033333333333333335,0.2,2,homophily_shift,,,False
0.1,0.896969696969697,0.06497973853891546,0.25,0.004072368144989014,0.0033333333333333335,0.3,2,homophily_shift,,,False
0.2,0.896969696969697,0.06497973853891546,0.25,0.004072368144989014,0.0033333333333333335,0.5,2,homophily_shift,,,False
0.5,0.896969696969697,0.06497973853891546,0.25,0.004072368144989014,0.0033333333333333335,1.0,2,homophily_shift,,,False
0.02,0.9939393939393939,0.01808499964800748,0.45,0.0005488197008768717,0.0,0.1,2,feature_noise,,,False
0.05,0.9939393939393939,0.01808499964800748,0.45,0.0005488197008768717,0.0,0.2,2,feature_noise,,,False
0.1,0.9939393939393939,0.01808499964800748,0.45,0.0005488197008768717,0.0,0.3,2,feature_noise,,,False
0.2,0.9939393939393939,0.01808499964800748,0.45,0.0005488197008768717,0.0,0.5,2,feature_noise,,,False
0.5,0.9939393939393939,0.01808499964800748,0.45,0.0005488197008768717,0.0,1.0,2,feature_noise,,,False
