delta_t,drift_high,drift_low,drift_mid,intensity,phi_t,seed,shift,step
0.0,0.0,0.0,0.0,0.45,0.0,0,feature_noise,0
8.205572764078775e-06,1.1324882507324219e-06,1.0788440704345703e-05,1.2695789337158203e-05,0.45,0.0,0,feature_noise,1
1.6689300537109375e-05,2.5033950805664062e-06,2.1696090698242188e-05,2.586841583251953e-05,0.45,0.0,0,feature_noise,2
2.5014082590738933e-05,3.635883331298828e-06,3.266334533691406e-05,3.8743019104003906e-05,0.45,0.0,0,feature_noise,3
3.325939178466797e-05,4.5299530029296875e-06,4.3511390686035156e-05,5.173683166503906e-05,0.45,0.0,0,feature_noise,4
4.1703383127848305e-05,5.4836273193359375e-06,5.4717063903808594e-05,6.490945816040039e-05,0.45,0.0,0,feature_noise,5
4.961093266805013e-05,5.781650543212891e-06,6.604194641113281e-05,7.700920104980469e-05,0.45,0.0,0,feature_noise,6
5.783637364705404e-05,7.033348083496094e-06,7.659196853637695e-05,8.988380432128906e-05,0.45,0.0,0,feature_noise,7
6.59028689066569e-05,7.808208465576172e-06,8.755922317504883e-05,0.0001023411750793457,0.45,0.0,0,feature_noise,8
7.408857345581055e-05,8.702278137207031e-06,9.840726852416992e-05,0.00011515617370605469,0.45,0.0,0,feature_noise,9
8.207559585571289e-05,9.298324584960938e-06,0.0001093149185180664,0.00012761354446411133,0.45,0.0,0,feature_noise,10
9.008248647054036e-05,1.0013580322265625e-05,0.00012004375457763672,0.00014019012451171875,0.45,0.0,0,feature_noise,11
9.80695088704427e-05,1.1682510375976562e-05,0.00013005733489990234,0.00015246868133544922,0.45,0.0,0,feature_noise,12
0.0001061558723449707,1.3113021850585938e-05,0.00014007091522216797,0.0001652836799621582,0.45,0.0,0,feature_noise,13
0.0001138448715209961,1.3768672943115234e-05,0.0001506209373474121,0.00017714500427246094,0.45,0.0,0,feature_noise,14
0.00012137492497762044,1.4424324035644531e-05,0.0001608729362487793,0.0001888275146484375,0.45,0.0,0,feature_noise,15
0.00012928247451782227,1.52587890625e-05,0.00017136335372924805,0.00020122528076171875,0.45,0.0,0,feature_noise,16
0.00013724962870279947,1.5854835510253906e-05,0.00018209218978881836,0.00021380186080932617,0.45,0.0,0,feature_noise,17
0.0001451571782430013,1.6570091247558594e-05,0.0001925826072692871,0.0002263188362121582,0.45,0.0,0,feature_noise,18
0.00015310446421305338,1.7464160919189453e-05,0.00020295381546020508,0.00023889541625976562,0.45,0.0,0,feature_noise,19
0.00016091267267862955,1.8596649169921875e-05,0.00021284818649291992,0.0002512931823730469,0.45,0.0,0,feature_noise,20
0.00016866127649943033,1.9371509552001953e-05,0.00022298097610473633,0.00026363134384155273,0.45,0.0,0,feature_noise,21
0.00017635027567545572,2.008676528930664e-05,0.0002332925796508789,0.00027567148208618164,0.45,0.0,0,feature_noise,22
0.00018372138341267905,2.0802021026611328e-05,0.00024324655532836914,0.00028711557388305664,0.45,0.0,0,feature_noise,23
0.00019135077794392905,2.1457672119140625e-05,0.00025337934494018555,0.00029921531677246094,0.45,0.0,0,feature_noise,24
0.0001987616221110026,2.205371856689453e-05,0.00026339292526245117,0.0003108382225036621,0.45,0.0,0,feature_noise,25
0.0002065896987915039,2.288818359375e-05,0.00027358531951904297,0.00032329559326171875,0.45,0.0,0,feature_noise,26
0.00021411975224812826,2.3603439331054688e-05,0.0002834796905517578,0.00033527612686157227,0.45,0.0,0,feature_noise,27
0.00022176901499430338,2.47955322265625e-05,0.0002929568290710449,0.00034755468368530273,0.45,0.0,0,feature_noise,28
0.00022939840952555338,2.568960189819336e-05,0.000302731990814209,0.0003597736358642578,0.45,0.0,0,feature_noise,29
0.00023663043975830078,2.6345252990722656e-05,0.00031250715255737305,0.00037103891372680664,0.45,0.0,0,feature_noise,30
0.0002438823382059733,2.6702880859375e-05,0.0003224015235900879,0.00038254261016845703,0.45,0.0,0,feature_noise,31
0.00025135278701782227,2.7120113372802734e-05,0.0003324151039123535,0.00039452314376831055,0.45,0.0,0,feature_noise,32
0.0002587238947550456,2.777576446533203e-05,0.0003421306610107422,0.0004062652587890625,0.45,0.0,0,feature_noise,33
0.0002658565839131673,2.8014183044433594e-05,0.00035190582275390625,0.0004176497459411621,0.45,0.0,0,feature_noise,34
0.00027308861414591473,2.8789043426513672e-05,0.00036144256591796875,0.0004290342330932617,0.45,0.0,0,feature_noise,35
0.00028020143508911133,2.9206275939941406e-05,0.0003712773323059082,0.0004401206970214844,0.45,0.0,0,feature_noise,36
0.0002873341242472331,3.0040740966796875e-05,0.00038045644760131836,0.000451505184173584,0.45,0.0,0,feature_noise,37
0.0002944668134053548,3.0279159545898438e-05,0.0003902316093444824,0.0004628896713256836,0.45,0.0,0,feature_noise,38
0.00030157963434855145,3.11732292175293e-05,0.0003993511199951172,0.0004742145538330078,0.45,0.0,0,feature_noise,39
0.00030881166458129883,3.1828880310058594e-05,0.0004088878631591797,0.0004857182502746582,0.45,0.0,0,feature_noise,40
0.0003160834312438965,3.236532211303711e-05,0.0004183053970336914,0.0004975795745849609,0.45,0.0,0,feature_noise,41
0.0003229777018229167,3.2901763916015625e-05,0.00042754411697387695,0.0005084872245788574,0.45,0.0,0,feature_noise,42
0.000329891840616862,3.30805778503418e-05,0.00043708086013793945,0.0005195140838623047,0.45,0.0,0,feature_noise,43
0.0003368854522705078,3.325939178466797e-05,0.00044661760330200195,0.0005307793617248535,0.45,0.0,0,feature_noise,44
0.00034356117248535156,3.349781036376953e-05,0.0004559159278869629,0.0005412697792053223,0.45,0.0,0,feature_noise,45
0.0003501574198404948,3.314018249511719e-05,0.00046563148498535156,0.0005517005920410156,0.45,0.0,0,feature_noise,46
0.00035699208577473957,3.3855438232421875e-05,0.0004744529724121094,0.0005626678466796875,0.45,0.0,0,feature_noise,47
0.00036394596099853516,3.439188003540039e-05,0.00048363208770751953,0.0005738139152526855,0.45,0.0,0,feature_noise,48
0.00037084023157755536,3.55839729309082e-05,0.0004921555519104004,0.0005847811698913574,0.45,0.0,0,feature_noise,49
0.00037721792856852215,3.618001937866211e-05,0.0005006790161132812,0.000594794750213623,0.45,0.0,0,feature_noise,50
0.0003836353619893392,3.641843795776367e-05,0.0005096793174743652,0.0006048083305358887,0.45,0.0,0,feature_noise,51
0.0003903905550638835,3.6656856536865234e-05,0.000518798828125,0.0006157159805297852,0.45,0.0,0,feature_noise,52
0.00039708614349365234,3.7670135498046875e-05,0.0005272626876831055,0.0006263256072998047,0.45,0.0,0,feature_noise,53
0.000403741995493571,3.8564205169677734e-05,0.0005356669425964355,0.0006369948387145996,0.45,0.0,0,feature_noise,54
0.00041041771570841473,3.844499588012695e-05,0.0005449056625366211,0.0006479024887084961,0.45,0.0,0,feature_noise,55
0.0004171927769978841,3.8743019104003906e-05,0.0005540251731872559,0.0006588101387023926,0.45,0.0,0,feature_noise,56
0.0004235704739888509,3.904104232788086e-05,0.0005627870559692383,0.0006688833236694336,0.45,0.0,0,feature_noise,57
0.00043014685312906903,3.9458274841308594e-05,0.0005713701248168945,0.0006796121597290039,0.45,0.0,0,feature_noise,58
0.00043656428654988605,3.927946090698242e-05,0.0005804896354675293,0.0006899237632751465,0.45,0.0,0,feature_noise,59
0.0,0.0,0.0,0.0,0.35,0.0,0,edge_add,0
2.976258595784505e-05,3.6835670471191406e-05,2.7418136596679688e-05,2.5033950805664062e-05,0.35,0.0,0,edge_add,1
5.930662155151367e-05,7.343292236328125e-05,5.429983139038086e-05,5.0187110900878906e-05,0.35,0.0,0,edge_add,2
8.865197499593099e-05,0.00010985136032104492,8.094310760498047e-05,7.516145706176758e-05,0.35,0.0,0,edge_add,3
0.0001175999641418457,0.00014585256576538086,0.00010693073272705078,0.00010001659393310547,0.35,0.0,0,edge_add,4
0.00014642874399820963,0.00018161535263061523,0.00013309717178344727,0.0001245737075805664,0.35,0.0,0,edge_add,5
0.0001750787099202474,0.00021690130233764648,0.00015932321548461914,0.00014901161193847656,0.35,0.0,0,edge_add,6
0.00020329157511393228,0.00025159120559692383,0.00018531084060668945,0.0001729726791381836,0.35,0.0,0,edge_add,7
0.0002315044403076172,0.00028651952743530273,0.00021076202392578125,0.00019723176956176758,0.35,0.0,0,edge_add,8
0.0002593199412027995,0.00032073259353637695,0.00023633241653442383,0.00022089481353759766,0.35,0.0,0,edge_add,9
0.00028691689173380536,0.00035458803176879883,0.00026160478591918945,0.00024455785751342773,0.35,0.0,0,edge_add,10
0.00031433502833048504,0.0003883242607116699,0.0002868175506591797,0.00026786327362060547,0.35,0.0,0,edge_add,11
0.00034151474634806317,0.0004216432571411133,0.00031173229217529297,0.0002911686897277832,0.35,0.0,0,edge_add,12
0.00036839644114176434,0.0004544258117675781,0.00033670663833618164,0.0003140568733215332,0.35,0.0,0,edge_add,13
0.00039509932200113934,0.0004871487617492676,0.000361025333404541,0.0003371238708496094,0.35,0.0,0,edge_add,14
0.00042174259821573895,0.0005197525024414062,0.00038558244705200195,0.0003598928451538086,0.35,0.0,0,edge_add,15
0.00044812758763631183,0.0005519986152648926,0.0004100203514099121,0.00038236379623413086,0.35,0.0,0,edge_add,16
0.0004742741584777832,0.0005838274955749512,0.0004343390464782715,0.00040465593338012695,0.35,0.0,0,edge_add,17
0.0005001624425252279,0.0006152987480163574,0.0004583001136779785,0.00042688846588134766,0.35,0.0,0,edge_add,18
0.0005260705947875977,0.0006470084190368652,0.0004820823669433594,0.00044912099838256836,0.35,0.0,0,edge_add,19
0.0005517005920410156,0.0006782412528991699,0.0005055069923400879,0.00047135353088378906,0.35,0.0,0,edge_add,20
0.0005771319071451823,0.0007091760635375977,0.0005291104316711426,0.0004931092262268066,0.35,0.0,0,edge_add,21
0.0006023446718851725,0.0007398724555969238,0.0005522966384887695,0.0005148649215698242,0.35,0.0,0,edge_add,22
0.0006273388862609863,0.000770270824432373,0.0005750656127929688,0.0005366802215576172,0.35,0.0,0,edge_add,23
0.000652154286702474,0.0008003115653991699,0.0005984306335449219,0.0005577206611633301,0.35,0.0,0,edge_add,24
0.0006768306096394857,0.0008301734924316406,0.0006213188171386719,0.0005789995193481445,0.35,0.0,0,edge_add,25
0.0007013678550720215,0.0008599162101745605,0.0006439089775085449,0.000600278377532959,0.35,0.0,0,edge_add,26
0.0007256468137105306,0.000889122486114502,0.000666499137878418,0.0006213188171386719,0.35,0.0,0,edge_add,27
0.0007498264312744141,0.0009185671806335449,0.0006886124610900879,0.0006422996520996094,0.35,0.0,0,edge_add,28
0.0007738868395487467,0.0009474754333496094,0.0007110834121704102,0.0006631016731262207,0.35,0.0,0,edge_add,29
0.0007978081703186035,0.0009765028953552246,0.0007328391075134277,0.0006840825080871582,0.35,0.0,0,edge_add,30
0.0008214116096496582,0.0010049939155578613,0.0007548332214355469,0.0007044076919555664,0.35,0.0,0,edge_add,31
0.0008448958396911621,0.0010334253311157227,0.0007765293121337891,0.0007247328758239746,0.35,0.0,0,edge_add,32
0.0008683204650878906,0.0010616183280944824,0.000798344612121582,0.0007449984550476074,0.35,0.0,0,edge_add,33
0.0008914669354756674,0.0010893940925598145,0.0008199810981750488,0.0007650256156921387,0.35,0.0,0,edge_add,34
0.0009145339330037435,0.0011170506477355957,0.0008414983749389648,0.0007850527763366699,0.35,0.0,0,edge_add,35
