acc_delta,delta_self,delta_tolerance,final_acc,intensity,max_delta_t,max_phi_t,outcome,peak_step_delta,peak_step_phi,phi_tolerance,scenario,seed,shift,src_acc,steps,would_halt
0.0,0.000171,0.000342057736714681,0.9818181818181818,0.0,0.000202,0.0,clean_no_halt,59,0,0.2,auto,0,clean,0.9818181818181818,60,False
0.0,0.000171,0.05,0.9818181818181818,0.0,0.000202,0.0,clean_no_halt,59,0,0.2,balanced,0,clean,0.9818181818181818,60,False
0.0,0.000171,0.02,0.9818181818181818,0.0,0.000202,0.0,clean_no_halt,59,0,0.1,safety,0,clean,0.9818181818181818,60,False
0.0,0.000171,0.000342057736714681,0.9757575757575757,0.2,0.000302,0.0,clean_no_halt,59,0,0.2,auto,0,feature_noise,0.9757575757575757,60,False
0.0,0.000171,0.05,0.9757575757575757,0.2,0.000302,0.0,clean_no_halt,59,0,0.2,balanced,0,feature_noise,0.9757575757575757,60,False
0.0,0.000171,0.02,0.9757575757575757,0.2,0.000302,0.0,clean_no_halt,59,0,0.1,safety,0,feature_noise,0.9757575757575757,60,False
0.0,0.000171,0.000342057736714681,0.9575757575757575,0.45,0.000437,0.0,false_alarm,59,0,0.2,auto,0,feature_noise,0.9575757575757575,60,True
0.0,0.000171,0.05,0.9575757575757575,0.45,0.000437,0.0,clean_no_halt,59,0,0.2,balanced,0,feature_noise,0.9575757575757575,60,False
0.0,0.000171,0.02,0.9575757575757575,0.45,0.000437,0.0,clean_no_halt,59,0,0.1,safety,0,feature_noise,0.9575757575757575,60,False
0.0,0.000171,0.000342057736714681,0.9575757575757575,0.15,0.000235,0.0,clean_no_halt,59,0,0.2,auto,0,edge_drop,0.9575757575757575,60,False
0.0,0.000171,0.05,0.9575757575757575,0.15,0.000235,0.0,clean_no_halt,59,0,0.2,balanced,0,edge_drop,0.9575757575757575,60,False
0.0,0.000171,0.02,0.9575757575757575,0.15,0.000235,0.0,clean_no_halt,59,0,0.1,safety,0,edge_drop,0.9575757575757575,60,False
0.0,0.000171,0.000342057736714681,0.9333333333333333,0.35,0.000315,0.0,clean_no_halt,59,0,0.2,auto,0,edge_drop,0.9333333333333333,60,False
0.0,0.000171,0.05,0.9333333333333333,0.35,0.000315,0.0,clean_no_halt,59,0,0.2,balanced,0,edge_drop,0.9333333333333333,60,False
0.0,0.000171,0.02,0.9333333333333333,0.35,0.000315,0.0,clean_no_halt,59,0,0.1,safety,0,edge_drop,0.9333333333333333,60,False
0.0,0.000171,0.000342057736714681,0.9575757575757575,0.15,0.000537,0.0,false_alarm,59,0,0.2,auto,0,edge_add,0.9575757575757575,60,True
0.0,0.000171,0.05,0.9575757575757575,0.15,0.000537,0.0,clean_no_halt,59,0,0.2,balanced,0,edge_add,0.9575757575757575,60,False
0.0,0.000171,0.02,0.9575757575757575,0.15,0.000537,0.0,clean_no_halt,59,0,0.1,safety,0,edge_add,0.9575757575757575,60,False
0.0,0.000171,0.000342057736714681,0.9636363636363636,0.35,0.001427,0.0,false_alarm,59,0,0.2,auto,0,edge_add,0.9636363636363636,60,True
0.0,0.000171,0.05,0.9636363636363636,0.35,0.001427,0.0,clean_no_halt,59,0,0.2,balanced,0,edge_add,0.9636363636363636,60,False
0.0,0.000171,0.02,0.9636363636363636,0.35,0.001427,0.0,clean_no_halt,59,0,0.1,safety,0,edge_add,0.9636363636363636,60,False
0.0,0.000171,0.000342057736714681,0.9818181818181818,0.35,0.000202,0.0,clean_no_halt,59,0,0.2,auto,0,degree_shift,0.9818181818181818,60,False
0.0,0.000171,0.05,0.9818181818181818,0.35,0.000202,0.0,clean_no_halt,59,0,0.2,balanced,0,degree_shift,0.9818181818181818,60,False
0.0,0.000171,0.02,0.9818181818181818,0.35,0.000202,0.0,clean_no_halt,59,0,0.1,safety,0,degree_shift,0.9818181818181818,60,False
0.0,0.000171,0.000342057736714681,0.793939393939394,0.25,0.00512,0.02,false_alarm,59,51,0.2,auto,0,homophily_shift,0.793939393939394,60,True
0.0,0.000171,0.05,0.793939393939394,0.25,0.00512,0.02,clean_no_halt,59,51,0.2,balanced,0,homophily_shift,0.793939393939394,60,False
0.0,0.000171,0.02,0.793939393939394,0.25,0.00512,0.02,clean_no_halt,59,51,0.1,safety,0,homophily_shift,0.793939393939394,60,False
-0.03636,0.000171,0.000342057736714681,0.5818181818181818,0.5,0.009939,0.08333,proxy_fires,59,55,0.2,auto,0,homophily_shift,0.6181818181818182,60,True
-0.03636,0.000171,0.05,0.5818181818181818,0.5,0.009939,0.08333,proxy_blind,59,55,0.2,balanced,0,homophily_shift,0.6181818181818182,60,False
-0.03636,0.000171,0.02,0.5818181818181818,0.5,0.009939,0.08333,proxy_blind,59,55,0.1,safety,0,homophily_shift,0.6181818181818182,60,False
0.0,0.000169,0.00033887882232666014,0.9696969696969697,0.0,0.000196,0.0,clean_no_halt,59,0,0.2,auto,1,clean,0.9696969696969697,60,False
0.0,0.000169,0.05,0.9696969696969697,0.0,0.000196,0.0,clean_no_halt,59,0,0.2,balanced,1,clean,0.9696969696969697,60,False
0.0,0.000169,0.02,0.9696969696969697,0.0,0.000196,0.0,clean_no_halt,59,0,0.1,safety,1,clean,0.9696969696969697,60,False
0.0,0.000169,0.00033887882232666014,0.9636363636363636,0.2,0.000401,0.0,false_alarm,59,0,0.2,auto,1,feature_noise,0.9636363636363636,60,True
0.0,0.000169,0.05,0.9636363636363636,0.2,0.000401,0.0,clean_no_halt,59,0,0.2,balanced,1,feature_noise,0.9636363636363636,60,False
0.0,0.000169,0.02,0.9636363636363636,0.2,0.000401,0.0,clean_no_halt,59,0,0.1,safety,1,feature_noise,0.9636363636363636,60,False
0.01212,0.000169,0.00033887882232666014,0.9515151515151515,0.45,0.001609,0.01,false_alarm,59,40,0.2,auto,1,feature_noise,0.9393939393939394,60,True
0.01212,0.000169,0.05,0.9515151515151515,0.45,0.001609,0.01,clean_no_halt,59,40,0.2,balanced,1,feature_noise,0.9393939393939394,60,False
0.01212,0.000169,0.02,0.9515151515151515,0.45,0.001609,0.01,clean_no_halt,59,40,0.1,safety,1,feature_noise,0.9393939393939394,60,False
-0.00606,0.000169,0.00033887882232666014,0.9454545454545454,0.15,0.00029,0.00667,clean_no_halt,59,41,0.2,auto,1,edge_drop,0.9515151515151515,60,False
-0.00606,0.000169,0.05,0.9454545454545454,0.15,0.00029,0.00667,clean_no_halt,59,41,0.2,balanced,1,edge_drop,0.9515151515151515,60,False
-0.00606,0.000169,0.02,0.9454545454545454,0.15,0.00029,0.00667,clean_no_halt,59,41,0.1,safety,1,edge_drop,0.9515151515151515,60,False
0.0,0.000169,0.00033887882232666014,0.9212121212121213,0.35,0.000322,0.0,clean_no_halt,59,0,0.2,auto,1,edge_drop,0.9212121212121213,60,False
0.0,0.000169,0.05,0.9212121212121213,0.35,0.000322,0.0,clean_no_halt,59,0,0.2,balanced,1,edge_drop,0.9212121212121213,60,False
0.0,0.000169,0.02,0.9212121212121213,0.35,0.000322,0.0,clean_no_halt,59,0,0.1,safety,1,edge_drop,0.9212121212121213,60,False
0.00606,0.000169,0.00033887882232666014,0.9454545454545454,0.15,0.00047,0.00667,false_alarm,59,51,0.2,auto,1,edge_add,0.9393939393939394,60,True
0.00606,0.000169,0.05,0.9454545454545454,0.15,0.00047,0.00667,clean_no_halt,59,51,0.2,balanced,1,edge_add,0.9393939393939394,60,False
0.00606,0.000169,0.02,0.9454545454545454,0.15,0.00047,0.00667,clean_no_halt,59,51,0.1,safety,1,edge_add,0.9393939393939394,60,False
0.0,0.000169,0.00033887882232666014,0.9272727272727272,0.35,0.002677,0.0,false_alarm,59,0,0.2,auto,1,edge_add,0.9272727272727272,60,True
0.0,0.000169,0.05,0.9272727272727272,0.35,0.002677,0.0,clean_no_halt,59,0,0.2,balanced,1,edge_add,0.9272727272727272,60,False
0.0,0.000169,0.02,0.9272727272727272,0.35,0.002677,0.0,clean_no_halt,59,0,0.1,safety,1,edge_add,0.9272727272727272,60,False
0.0,0.000169,0.00033887882232666014,0.9696969696969697,0.35,0.000196,0.0,clean_no_halt,59,0,0.2,auto,1,degree_shift,0.9696969696969697,60,False
0.0,0.000169,0.05,0.9696969696969697,0.35,0.000196,0.0,clean_no_halt,59,0,0.2,balanced,1,degree_shift,0.9696969696969697,60,False
0.0,0.000169,0.02,0.9696969696969697,0.35,0.000196,0.0,clean_no_halt,59,0,0.1,safety,1,degree_shift,0.9696969696969697,60,False
0.01212,0.000169,0.00033887882232666014,0.806060606060606,0.25,0.002457,0.01667,false_alarm,59,56,0.2,auto,1,homophily_shift,0.793939393939394,60,True
0.01212,0.000169,0.05,0.806060606060606,0.25,0.002457,0.01667,clean_no_halt,59,56,0.2,balanced,1,homophily_shift,0.793939393939394,60,False
0.01212,0.000169,0.02,0.806060606060606,0.25,0.002457,0.01667,clean_no_halt,59,56,0.1,safety,1,homophily_shift,0.793939393939394,60,False
0.0,0.000169,0.00033887882232666014,0.6060606060606061,0.5,0.014789,0.09,false_alarm,59,58,0.2,auto,1,homophily_shift,0.6060606060606061,60,True
0.0,0.000169,0.05,0.6060606060606061,0.5,0.014789,0.09,clean_no_halt,59,58,0.2,balanced,1,homophily_shift,0.6060606060606061,60,False
0.0,0.000169,0.02,0.6060606060606061,0.5,0.014789,0.09,clean_no_halt,59,58,0.1,safety,1,homophily_shift,0.6060606060606061,60,False
0.0,0.00021,0.000420338503519694,0.9878787878787879,0.0,0.000307,0.0,clean_no_halt,59,0,0.2,auto,2,clean,0.9878787878787879,60,False
0.0,0.00021,0.05,0.9878787878787879,0.0,0.000307,0.0,clean_no_halt,59,0,0.2,balanced,2,clean,0.9878787878787879,60,False
0.0,0.00021,0.02,0.9878787878787879,0.0,0.000307,0.0,clean_no_halt,59,0,0.1,safety,2,clean,0.9878787878787879,60,False
0.0,0.00021,0.000420338503519694,0.9878787878787879,0.2,0.000278,0.0,clean_no_halt,59,0,0.2,auto,2,feature_noise,0.9878787878787879,60,False
0.0,0.00021,0.05,0.9878787878787879,0.2,0.000278,0.0,clean_no_halt,59,0,0.2,balanced,2,feature_noise,0.9878787878787879,60,False
0.0,0.00021,0.02,0.9878787878787879,0.2,0.000278,0.0,clean_no_halt,59,0,0.1,safety,2,feature_noise,0.9878787878787879,60,False
0.0,0.00021,0.000420338503519694,0.9939393939393939,0.45,0.000549,0.0,false_alarm,59,0,0.2,auto,2,feature_noise,0.9939393939393939,60,True
0.0,0.00021,0.05,0.9939393939393939,0.45,0.000549,0.0,clean_no_halt,59,0,0.2,balanced,2,feature_noise,0.9939393939393939,60,False
0.0,0.00021,0.02,0.9939393939393939,0.45,0.000549,0.0,clean_no_halt,59,0,0.1,safety,2,feature_noise,0.9939393939393939,60,False
0.0,0.00021,0.000420338503519694,0.9757575757575757,0.15,0.000313,0.0,clean_no_halt,59,0,0.2,auto,2,edge_drop,0.9757575757575757,60,False
0.0,0.00021,0.05,0.9757575757575757,0.15,0.000313,0.0,clean_no_halt,59,0,0.2,balanced,2,edge_drop,0.9757575757575757,60,False
0.0,0.00021,0.02,0.9757575757575757,0.15,0.000313,0.0,clean_no_halt,59,0,0.1,safety,2,edge_drop,0.9757575757575757,60,False
0.0,0.00021,0.000420338503519694,0.9636363636363636,0.35,0.00026,0.0,clean_no_halt,59,0,0.2,auto,2,edge_drop,0.9636363636363636,60,False
0.0,0.00021,0.05,0.9636363636363636,0.35,0.00026,0.0,clean_no_halt,59,0,0.2,balanced,2,edge_drop,0.9636363636363636,60,False
0.0,0.00021,0.02,0.9636363636363636,0.35,0.00026,0.0,clean_no_halt,59,0,0.1,safety,2,edge_drop,0.9636363636363636,60,False
0.0,0.00021,0.000420338503519694,0.9696969696969697,0.15,0.00054,0.0,false_alarm,59,0,0.2,auto,2,edge_add,0.9696969696969697,60,True
0.0,0.00021,0.05,0.9696969696969697,0.15,0.00054,0.0,clean_no_halt,59,0,0.2,balanced,2,edge_add,0.9696969696969697,60,False
0.0,0.00021,0.02,0.9696969696969697,0.15,0.00054,0.0,clean_no_halt,59,0,0.1,safety,2,edge_add,0.9696969696969697,60,False
0.0,0.00021,0.000420338503519694,0.9696969696969697,0.35,0.002406,0.00333,false_alarm,59,7,0.2,auto,2,edge_add,0.9696969696969697,60,True
0.0,0.00021,0.05,0.9696969696969697,0.35,0.002406,0.00333,clean_no_halt,59,7,0.2,balanced,2,edge_add,0.9696969696969697,60,False
0.0,0.00021,0.02,0.9696969696969697,0.35,0.002406,0.00333,clean_no_halt,59,7,0.1,safety,2,edge_add,0.9696969696969697,60,False
0.0,0.00021,0.000420338503519694,0.9878787878787879,0.35,0.000307,0.0,clean_no_halt,59,0,0.2,auto,2,degree_shift,0.9878787878787879,60,False
0.0,0.00021,0.05,0.9878787878787879,0.35,0.000307,0.0,clean_no_halt,59,0,0.2,balanced,2,degree_shift,0.9878787878787879,60,False
